children_under_4,children_under_12,children_under_18,children_under_26,employee_type,distance_dm_home_to_employer_hq,travel_location_known,owns_rents,no_of_medical_visits_previous_year,percent_family_members_with_chronic_condition,percent_family_members_that_play_sports,probe_id,serial,probe,network_status,expense_type,val1,val2,val3,val4,action,plan,estimate_medical_visits,risk_aversion,choice,kdma_depends_on,persona
1,1,2,1,Salaried,1214,No,Owns,17,40,57,15,3,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,70,80,70,50,70,2,20,low,low,RISK,1
0,0,0,0,Bonus,1440,Yes,Owns,4,10,8,5,1,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,2000,6450,1500,4000,6450,1,5,low,low,RISK,1
0,1,0,1,Bonus,4623,Yes,Owns,2,9,1,14,1,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,100,80,95,90,80,1,5,low,low,RISK,1
3,4,2,3,Bonus,4199,No,Owns,57,67,81,16,4,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,50,0,30,75,50,2,50,low,low,RISK,1
1,1,1,1,Bonus,2909,Yes,Rents,23,31,55,5,3,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,4000,6450,1500,2000,4000,2,20,low,low,RISK,1
4,4,4,2,Bonus,3149,No,Owns,37,58,79,2,4,DEDUCTIBLE,IN-NETWORK,COST IN $,600,1600,200,0,600,2,50,low,low,RISK,1
4,4,2,2,Bonus,3643,No,Rents,59,56,100,20,4,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,30,10,100,50,50,2,50,low,low,RISK,1
0,1,2,1,Bonus,2810,Yes,Owns,15,20,35,15,2,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,70,80,50,70,50,1,10,low,low,RISK,1
0,1,1,1,Salaried,3990,No,Rents,6,1,2,4,1,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,1500,1000,4000,6450,6450,1,5,low,low,RISK,1
0,0,0,0,Bonus,489,No,Rents,3,0,4,2,1,DEDUCTIBLE,IN-NETWORK,COST IN $,200,600,1600,0,1600,1,5,low,low,RISK,1
1,3,3,2,Salaried,3954,No,Owns,17,23,53,13,3,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,70,60,50,80,60,2,20,low,low,RISK,1
0,1,2,1,Bonus,2810,Yes,Owns,15,20,35,18,2,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,15,10,20,10,20,1,10,low,low,RISK,1
2,2,1,1,Bonus,2804,No,Owns,26,20,55,15,3,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,50,70,70,80,70,2,20,low,low,RISK,1
3,4,3,4,Hourly,1596,Yes,Owns,50,55,76,12,4,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,25,40,200,0,40,2,50,low,low,RISK,1
3,1,3,1,Hourly,3252,Yes,Owns,24,24,60,18,3,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,15,10,20,10,15,2,20,low,low,RISK,1
3,1,3,2,Salaried,4038,Yes,Rents,28,36,62,10,3,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,100,120,0,60,100,2,20,low,low,RISK,1
3,1,2,3,Bonus,144,Yes,Owns,24,47,55,14,3,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,95,80,100,90,90,2,20,low,low,RISK,1
1,3,1,2,Bonus,2294,Yes,Owns,25,47,55,10,3,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,100,120,60,0,100,2,20,low,low,RISK,1
2,2,1,1,Salaried,4671,Yes,Rents,33,23,53,11,3,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,200,10,100,0,100,2,20,low,low,RISK,1
2,2,1,1,Bonus,3643,No,Rents,35,26,75,13,3,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,50,70,80,60,60,2,20,low,low,RISK,1
2,3,3,3,Bonus,1972,Yes,Owns,62,60,80,17,4,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,50,80,70,100,70,2,50,low,low,RISK,1
4,4,2,2,Bonus,2804,No,Owns,48,51,79,15,4,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,70,70,50,80,70,2,50,low,low,RISK,1
1,1,0,1,Bonus,861,No,Owns,15,13,50,12,2,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,0,200,25,40,200,1,10,low,low,RISK,1
0,0,0,0,Bonus,1248,Yes,Rents,1,10,10,5,1,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,6450,2000,1500,4000,6450,1,5,low,low,RISK,1
0,1,1,0,Salaried,1919,No,Owns,10,15,31,5,2,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,6450,1500,4000,2000,6450,1,10,low,low,RISK,1
3,4,4,3,Bonus,4493,Yes,Owns,64,60,78,17,4,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,70,80,100,50,70,2,50,low,low,RISK,1
2,2,1,2,Hourly,2954,Yes,Owns,39,40,57,10,3,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,60,0,120,100,100,2,20,low,low,RISK,1
1,1,2,1,Salaried,1919,No,Owns,25,33,56,5,3,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,1500,6450,4000,2000,4000,2,20,low,low,RISK,1
4,3,3,3,Hourly,4826,No,Owns,47,63,98,2,4,DEDUCTIBLE,IN-NETWORK,COST IN $,1600,200,600,0,600,2,50,low,low,RISK,1
0,1,1,0,Salaried,1625,No,Owns,16,16,31,12,2,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,40,25,0,200,200,1,10,low,low,RISK,1
4,4,4,4,Bonus,2793,Yes,Owns,63,73,76,1,4,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,600,1600,200,0,600,2,50,low,low,RISK,1
0,0,0,1,Bonus,4271,No,Rents,9,16,37,13,2,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,60,80,70,50,50,1,10,low,low,RISK,1
0,0,0,1,Bonus,1972,Yes,Owns,17,14,30,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
1,1,0,0,Bonus,3643,No,Rents,16,13,50,20,2,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,30,100,10,50,100,1,10,low,low,RISK,1
1,0,0,0,Hourly,2384,No,Rents,6,17,32,13,2,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,80,70,60,50,50,1,10,low,low,RISK,1
0,1,0,1,Bonus,4623,Yes,Owns,2,9,1,2,1,DEDUCTIBLE,IN-NETWORK,COST IN $,1600,600,0,200,1600,1,5,low,low,RISK,1
4,2,4,2,Bonus,4695,No,Owns,35,65,80,18,4,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,10,10,20,15,15,2,50,low,low,RISK,1
2,1,1,2,Salaried,4138,No,Owns,17,13,27,20,2,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,50,100,10,30,100,1,10,low,low,RISK,1
1,1,0,0,Salaried,792,No,Owns,5,1,9,18,1,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,10,20,10,15,20,1,5,low,low,RISK,1
4,4,4,4,Bonus,1962,No,Rents,35,68,84,18,4,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,15,20,10,10,15,2,50,low,low,RISK,1
1,3,2,1,Hourly,3337,No,Rents,18,47,55,12,3,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,40,200,25,0,40,2,20,low,low,RISK,1
1,2,0,2,Bonus,4623,Yes,Owns,7,19,27,8,2,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,15,80,20,40,80,1,10,low,low,RISK,1
3,1,2,3,Bonus,144,Yes,Owns,24,47,55,12,3,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,0,200,25,40,40,2,20,low,low,RISK,1
2,2,3,2,Bonus,1006,No,Owns,50,63,98,17,4,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,70,80,100,50,70,2,50,low,low,RISK,1
0,1,1,1,Salaried,2240,Yes,Rents,8,10,10,11,1,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,100,10,0,200,200,1,5,low,low,RISK,1
2,3,2,1,Bonus,3149,No,Owns,17,29,55,5,3,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,4000,2000,1500,6450,4000,2,20,low,low,RISK,1
4,4,3,2,Hourly,2246,No,Owns,62,60,83,14,4,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,90,100,80,95,90,2,50,low,low,RISK,1
1,1,2,2,Bonus,1962,No,Rents,5,17,35,11,2,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,0,200,100,10,200,1,10,low,low,RISK,1
0,1,0,1,Salaried,4259,Yes,Rents,1,8,6,10,1,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,60,0,100,120,120,1,5,low,low,RISK,1
2,1,0,0,Bonus,1139,No,Owns,13,16,31,11,2,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,10,100,0,200,200,1,10,low,low,RISK,1
0,0,1,1,Hourly,2183,Yes,Owns,6,15,48,18,2,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,10,15,20,10,20,1,10,low,low,RISK,1
4,2,4,2,Hourly,2250,No,Owns,48,68,84,12,4,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,25,200,40,0,40,2,50,low,low,RISK,1
0,1,0,0,Hourly,2246,No,Owns,9,4,8,4,1,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,1500,1000,4000,6450,6450,1,5,low,low,RISK,1
1,1,1,1,Salaried,2175,No,Owns,16,20,34,17,2,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,80,50,100,70,50,1,10,low,low,RISK,1
0,0,0,0,Salaried,4742,No,Rents,0,6,5,2,1,DEDUCTIBLE,IN-NETWORK,COST IN $,600,200,1600,0,1600,1,5,low,low,RISK,1
3,4,2,3,Bonus,4199,No,Owns,57,67,81,2,4,DEDUCTIBLE,IN-NETWORK,COST IN $,200,1600,600,0,600,2,50,low,low,RISK,1
4,3,4,3,Hourly,3561,Yes,Owns,51,56,75,14,4,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,100,80,95,90,90,2,50,low,low,RISK,1
0,0,0,0,Bonus,3409,Yes,Rents,6,3,4,13,1,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,70,80,50,60,50,1,5,low,low,RISK,1
0,0,1,0,Bonus,3179,No,Rents,2,2,0,15,1,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,50,70,80,70,50,1,5,low,low,RISK,1
0,2,0,1,Hourly,176,Yes,Rents,9,18,32,12,2,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,40,25,200,0,200,1,10,low,low,RISK,1
3,3,2,2,Bonus,489,No,Rents,45,51,79,17,4,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,80,50,100,70,70,2,50,low,low,RISK,1
2,0,1,2,Bonus,144,Yes,Owns,10,19,30,12,2,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,25,200,0,40,200,1,10,low,low,RISK,1
1,1,2,1,Bonus,3085,No,Rents,9,12,39,12,2,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,40,25,0,200,200,1,10,low,low,RISK,1
1,0,1,1,Salaried,4038,Yes,Rents,5,5,12,18,1,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,10,10,15,20,20,1,5,low,low,RISK,1
0,0,0,0,Bonus,1972,Yes,Owns,9,4,5,4,1,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,1500,6450,1000,4000,6450,1,5,low,low,RISK,1
1,0,1,0,Bonus,2951,No,Owns,11,11,30,5,2,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,2000,6450,1500,4000,6450,1,10,low,low,RISK,1
0,0,0,0,Bonus,2363,Yes,Rents,6,5,5,16,1,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,30,0,50,75,75,1,5,low,low,RISK,1
0,1,0,0,Bonus,2639,No,Rents,5,14,29,18,2,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,20,15,10,10,20,1,10,low,low,RISK,1
3,4,3,4,Salaried,4259,Yes,Rents,37,70,81,15,4,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,50,70,80,70,70,2,50,low,low,RISK,1
0,0,0,1,Bonus,4271,No,Rents,9,16,37,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,0,200,1600,1,10,low,low,RISK,1
2,4,3,3,Bonus,2294,Yes,Owns,47,72,79,10,4,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,120,100,0,60,100,2,50,low,low,RISK,1
1,1,2,1,Bonus,1248,Yes,Rents,18,49,60,8,3,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,15,40,20,80,40,2,20,low,low,RISK,1
0,1,1,1,Hourly,1019,Yes,Owns,8,10,2,15,1,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,70,50,70,80,50,1,5,low,low,RISK,1
0,0,0,0,Bonus,1972,Yes,Owns,9,4,5,5,1,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,4000,6450,1500,2000,6450,1,5,low,low,RISK,1
4,3,3,4,Salaried,4138,No,Owns,62,55,76,17,4,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,70,50,80,100,70,2,50,low,low,RISK,1
3,1,2,3,Bonus,144,Yes,Owns,24,47,55,2,3,DEDUCTIBLE,IN-NETWORK,COST IN $,200,0,600,1600,600,2,20,low,low,RISK,1
3,1,2,1,Bonus,4695,No,Owns,15,38,56,18,3,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,10,10,15,20,15,2,20,low,low,RISK,1
1,0,2,2,Salaried,1235,Yes,Rents,14,14,34,10,2,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,0,60,100,120,120,1,10,low,low,RISK,1
2,1,3,1,Bonus,1856,Yes,Rents,31,20,55,10,3,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,120,100,60,0,100,2,20,low,low,RISK,1
2,3,1,1,Hourly,1178,No,Owns,15,24,64,20,3,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,30,100,10,50,50,2,20,low,low,RISK,1
0,0,1,1,Hourly,1155,No,Rents,1,10,8,5,1,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,1500,2000,4000,6450,6450,1,5,low,low,RISK,1
1,1,2,0,Salaried,83,Yes,Owns,7,20,28,13,2,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,50,80,60,70,50,1,10,low,low,RISK,1
1,3,1,2,Hourly,3429,No,Rents,34,43,57,4,3,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,1500,1000,4000,6450,4000,2,20,low,low,RISK,1
0,0,0,0,Bonus,3409,Yes,Rents,6,3,4,18,1,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,10,20,10,15,20,1,5,low,low,RISK,1
2,3,4,3,Hourly,2563,Yes,Rents,59,56,100,2,4,DEDUCTIBLE,IN-NETWORK,COST IN $,1600,600,0,200,600,2,50,low,low,RISK,1
0,0,1,0,Salaried,1622,Yes,Rents,2,1,9,2,1,DEDUCTIBLE,IN-NETWORK,COST IN $,0,1600,600,200,1600,1,5,low,low,RISK,1
2,0,2,0,Salaried,1366,No,Owns,14,15,31,5,2,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,1500,6450,4000,2000,6450,1,10,low,low,RISK,1
3,2,4,4,Salaried,1235,Yes,Rents,55,60,83,5,4,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,6450,2000,1500,4000,4000,2,50,low,low,RISK,1
4,3,4,4,Bonus,2742,No,Owns,64,75,77,15,4,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,50,80,70,70,70,2,50,low,low,RISK,1
3,3,3,2,Bonus,2793,Yes,Owns,39,48,52,5,3,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,1500,2000,6450,4000,4000,2,20,low,low,RISK,1
0,1,1,0,Salaried,1625,No,Owns,16,16,31,13,2,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,70,60,50,80,50,1,10,low,low,RISK,1
0,0,0,0,Bonus,1440,Yes,Owns,4,10,8,17,1,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,80,100,50,70,50,1,5,low,low,RISK,1
0,2,0,1,Hourly,3429,No,Rents,15,18,32,15,2,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,50,80,70,70,50,1,10,low,low,RISK,1
4,4,2,2,Bonus,1139,No,Owns,52,65,80,13,4,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,80,70,50,60,60,2,50,low,low,RISK,1
3,1,3,1,Hourly,1593,No,Owns,16,25,52,11,3,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,10,0,200,100,100,2,20,low,low,RISK,1
1,2,2,0,Salaried,1012,Yes,Owns,15,13,50,16,2,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,30,50,0,75,75,1,10,low,low,RISK,1
0,0,0,0,Hourly,2879,Yes,Rents,9,4,5,12,1,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,25,40,200,0,200,1,5,low,low,RISK,1
1,1,2,3,Hourly,1155,No,Rents,16,49,59,14,3,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,80,100,90,95,90,2,20,low,low,RISK,1
2,1,1,0,Salaried,3352,Yes,Rents,6,19,27,8,2,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,40,80,20,15,80,1,10,low,low,RISK,1
3,3,2,3,Salaried,3664,No,Owns,18,38,64,10,3,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,0,60,100,120,100,2,20,low,low,RISK,1
0,0,1,2,Hourly,1155,No,Rents,6,20,34,2,2,DEDUCTIBLE,IN-NETWORK,COST IN $,200,0,600,1600,1600,1,10,low,low,RISK,1
2,3,4,2,Salaried,1919,No,Owns,48,61,80,4,4,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,1500,4000,1000,6450,4000,2,50,low,low,RISK,1
4,3,4,3,Hourly,3252,Yes,Owns,46,55,84,13,4,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,80,50,60,70,60,2,50,low,low,RISK,1
1,1,0,1,Bonus,861,No,Owns,15,13,50,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,200,600,1600,1600,1,10,low,low,RISK,1
0,2,2,2,Salaried,2240,Yes,Rents,15,20,35,2,2,DEDUCTIBLE,IN-NETWORK,COST IN $,600,200,0,1600,1600,1,10,low,low,RISK,1
0,1,0,0,Hourly,4470,Yes,Owns,6,15,48,5,2,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,4000,1500,6450,2000,6450,1,10,low,low,RISK,1
4,3,3,4,Salaried,1125,Yes,Rents,38,53,77,14,4,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,95,90,100,80,90,2,50,low,low,RISK,1
1,1,0,0,Salaried,792,No,Owns,5,1,9,16,1,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,0,30,75,50,75,1,5,low,low,RISK,1
0,1,2,0,Salaried,912,Yes,Rents,16,14,30,16,2,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,50,0,30,75,75,1,10,low,low,RISK,1
1,0,2,1,Hourly,3561,Yes,Owns,12,13,26,4,2,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,4000,6450,1000,1500,6450,1,10,low,low,RISK,1
1,1,2,1,Bonus,1248,Yes,Rents,18,49,60,16,3,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,0,30,50,75,50,2,20,low,low,RISK,1
2,0,2,1,Hourly,1593,No,Owns,5,13,27,10,2,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,0,60,100,120,120,1,10,low,low,RISK,1
2,3,2,1,Bonus,3149,No,Owns,17,29,55,1,3,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,200,0,1600,600,600,2,20,low,low,RISK,1
1,1,0,0,Salaried,4671,Yes,Rents,15,12,28,12,2,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,0,200,25,40,200,1,10,low,low,RISK,1
3,4,4,4,Bonus,2810,Yes,Owns,58,74,85,5,4,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,6450,4000,1500,2000,4000,2,50,low,low,RISK,1
3,3,2,2,Hourly,2384,No,Rents,37,67,81,5,4,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,6450,4000,2000,1500,4000,2,50,low,low,RISK,1
1,1,2,0,Hourly,2547,Yes,Owns,14,16,37,5,2,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,6450,2000,1500,4000,6450,1,10,low,low,RISK,1
2,4,4,4,Salaried,3990,No,Rents,53,53,77,1,4,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,600,200,0,1600,600,2,50,low,low,RISK,1
0,1,1,2,Salaried,3990,No,Rents,13,12,28,8,2,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,15,20,80,40,80,1,10,low,low,RISK,1
0,1,1,1,Hourly,1019,Yes,Owns,8,10,2,2,1,DEDUCTIBLE,IN-NETWORK,COST IN $,200,600,1600,0,1600,1,5,low,low,RISK,1
0,1,1,1,Hourly,1019,Yes,Owns,8,10,2,8,1,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,15,80,20,40,80,1,5,low,low,RISK,1
1,3,2,1,Hourly,3337,No,Rents,18,47,55,14,3,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,100,95,80,90,90,2,20,low,low,RISK,1
2,3,3,1,Salaried,83,Yes,Owns,19,50,53,2,3,DEDUCTIBLE,IN-NETWORK,COST IN $,1600,600,0,200,600,2,20,low,low,RISK,1
0,0,0,1,Salaried,1210,No,Rents,9,1,13,4,1,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,1500,1000,4000,6450,6450,1,5,low,low,RISK,1
1,1,0,1,Hourly,2954,Yes,Owns,18,17,32,20,2,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,10,50,30,100,100,1,10,low,low,RISK,1
1,1,1,3,Bonus,4027,Yes,Rents,21,31,54,17,3,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,80,50,70,100,70,2,20,low,low,RISK,1
1,1,0,0,Salaried,792,No,Owns,12,12,35,15,2,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,70,50,80,70,50,1,10,low,low,RISK,1
0,0,0,1,Hourly,2183,Yes,Owns,1,5,23,5,1,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,1500,6450,4000,2000,6450,1,5,low,low,RISK,1
0,1,1,1,Salaried,2240,Yes,Rents,8,10,10,5,1,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,1500,4000,2000,6450,6450,1,5,low,low,RISK,1
2,2,2,3,Hourly,3289,No,Rents,59,54,88,2,4,DEDUCTIBLE,IN-NETWORK,COST IN $,0,600,200,1600,600,2,50,low,low,RISK,1
1,0,1,0,Hourly,2250,No,Owns,4,7,9,11,1,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,100,0,10,200,200,1,5,low,low,RISK,1
1,2,0,1,Bonus,4199,No,Owns,14,17,32,5,2,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,2000,4000,6450,1500,6450,1,10,low,low,RISK,1
1,1,1,2,Hourly,2183,Yes,Owns,16,35,73,8,3,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,80,20,15,40,40,2,20,low,low,RISK,1
0,0,0,0,Hourly,2879,Yes,Rents,9,4,5,17,1,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,80,50,100,70,50,1,5,low,low,RISK,1
2,2,3,2,Bonus,1006,No,Owns,50,63,98,13,4,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,50,60,80,70,60,2,50,low,low,RISK,1
0,1,0,0,Hourly,4470,Yes,Owns,0,5,23,5,1,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,2000,1500,4000,6450,6450,1,5,low,low,RISK,1
2,4,3,3,Bonus,2639,No,Rents,36,60,78,4,4,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,4000,6450,1500,1000,4000,2,50,low,low,RISK,1
1,0,1,0,Bonus,458,No,Rents,4,8,6,4,1,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,1500,6450,4000,1000,6450,1,5,low,low,RISK,1
1,1,1,1,Hourly,4605,Yes,Rents,24,38,64,14,3,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,95,90,100,80,90,2,20,low,low,RISK,1
0,1,1,2,Salaried,3990,No,Rents,13,12,28,2,2,DEDUCTIBLE,IN-NETWORK,COST IN $,600,200,1600,0,1600,1,10,low,low,RISK,1
1,2,1,1,Bonus,4493,Yes,Owns,18,14,29,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
0,0,0,0,Bonus,1440,Yes,Owns,4,10,8,4,1,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,1000,1500,4000,6450,6450,1,5,low,low,RISK,1
0,0,0,0,Bonus,3409,Yes,Rents,6,3,4,12,1,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,200,0,40,25,200,1,5,low,low,RISK,1
0,0,0,1,Hourly,3289,No,Rents,15,12,39,15,2,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,80,50,70,70,50,1,10,low,low,RISK,1
