Case,Actual Outcome,Actual Outcome of 5 Most Similar Cases,Similarity#1,Similarity#2,Similarity#3,Similarity#4,Similarity#5,Top 5 Most Similar Case Index,Similarity Score,Diff_Attributes: Most Similar Variation 1,Diff_Attributes: Most Similar Variation 2,Diff_Attributes: Most Similar Variation 3,Diff_Attributes: Most Similar Variation 4,Diff_Attributes: Most Similar Variation 5
[122],10,[ 4 10 10 10 10],Case: 123 / Pred: 4,Case: 121 / Pred: 10,Case: 117 / Pred: 10,Case: 124 / Pred: 10,Case: 200 / Pred: 10,"[123, 121, 117, 124, 200]","[0.4707395028866631, 0.46816898528275724, 0.46711980708505946, 0.46711980708505946, 0.46633708429830734]",Mission: 3.0/2.0 - Counterfactual,"Mission: 8.0/2.0, Timeurg: 8.0/6.0 - Non-Counterfactual","Mission: 4.0/2.0, Risktol: 2.0/3.0, Timeurg: 7.0/6.0 - Non-Counterfactual","Mission: 4.0/2.0, Risktol: 2.0/3.0, Timeurg: 2.0/6.0 - Non-Counterfactual","Prompt: 9.0/14.0, Mission: 8.0/2.0, Risktol: 2.0/3.0, Timeurg: 2.0/6.0 - Non-Counterfactual"
[123],4,[10 10 10 10 10],Case: 122 / Pred: 10,Case: 121 / Pred: 10,Case: 117 / Pred: 10,Case: 124 / Pred: 10,Case: 202 / Pred: 10,"[122, 121, 117, 124, 202]","[0.4707395028866631, 0.46816898528275724, 0.46711980708505946, 0.46711980708505946, 0.4667980684581058]",Mission: 2.0/3.0 - Counterfactual,"Mission: 8.0/3.0, Timeurg: 8.0/6.0 - Counterfactual","Mission: 4.0/3.0, Risktol: 2.0/3.0, Timeurg: 7.0/6.0 - Counterfactual","Mission: 4.0/3.0, Risktol: 2.0/3.0, Timeurg: 2.0/6.0 - Counterfactual","Prompt: 9.0/14.0, Denial: 2.0/3.0, Timeurg: 4.0/6.0 - Counterfactual"
[124],10,[10 10 10  5 10],Case: 126 / Pred: 10,Case: 200 / Pred: 10,Case: 117 / Pred: 10,Case: 207 / Pred: 5,Case: 121 / Pred: 10,"[126, 200, 117, 207, 121]","[0.47015375728888, 0.46996280873984714, 0.4699261447469857, 0.46761686750740306, 0.46711980708505946]",Denial: 2.0/3.0 - Non-Counterfactual,"Prompt: 9.0/14.0, Mission: 8.0/4.0 - Non-Counterfactual",Timeurg: 7.0/2.0 - Non-Counterfactual,"Prompt: 9.0/14.0, Mission: 2.0/4.0, Denial: 2.0/3.0 - Counterfactual","Mission: 8.0/4.0, Risktol: 3.0/2.0, Timeurg: 8.0/2.0 - Non-Counterfactual"
[125],10,[10 10  5 10 10],Case: 205 / Pred: 10,Case: 113 / Pred: 10,Case: 203 / Pred: 5,Case: 206 / Pred: 10,Case: 196 / Pred: 10,"[205, 113, 203, 206, 196]","[0.4673880195312563, 0.4673487863975569, 0.4665664477520139, 0.4665664477520139, 0.46633708429830734]","Prompt: 9.0/14.0, Mission: 7.0/6.0, Timeurg: 4.0/3.0 - Non-Counterfactual","Mission: 8.0/6.0, Denial: 2.0/7.0, Risktol: 2.0/3.0 - Non-Counterfactual","Prompt: 9.0/14.0, Mission: 2.0/6.0, Denial: 2.0/7.0, Risktol: 2.0/3.0 - Counterfactual","Prompt: 9.0/14.0, Mission: 2.0/6.0, Denial: 2.0/7.0, Risktol: 4.0/3.0 - Non-Counterfactual","Prompt: 9.0/14.0, Mission: 8.0/6.0, Risktol: 2.0/3.0, Timeurg: 8.0/3.0 - Non-Counterfactual"
[126],10,[10  5 10 10 10],Case: 124 / Pred: 10,Case: 207 / Pred: 5,Case: 113 / Pred: 10,Case: 200 / Pred: 10,Case: 117 / Pred: 10,"[124, 207, 113, 200, 117]","[0.47015375728888, 0.46996280873984714, 0.46816898528275724, 0.46761686750740306, 0.4675800195640902]",Denial: 3.0/2.0 - Non-Counterfactual,"Prompt: 9.0/14.0, Mission: 2.0/4.0 - Counterfactual","Mission: 8.0/4.0, Timeurg: 3.0/2.0 - Non-Counterfactual","Prompt: 9.0/14.0, Mission: 8.0/4.0, Denial: 3.0/2.0 - Non-Counterfactual","Denial: 3.0/2.0, Timeurg: 7.0/2.0 - Non-Counterfactual"
[127],4,[ 4 10 10 10  5],Case: 115 / Pred: 4,Case: 194 / Pred: 10,Case: 114 / Pred: 10,Case: 193 / Pred: 10,Case: 195 / Pred: 5,"[115, 194, 114, 193, 195]","[0.4707395028866631, 0.46996280873984714, 0.46969606658825586, 0.46891764414355613, 0.46891764414355613]",Mission: 2.0/0.0 - Non-Counterfactual,"Prompt: 9.0/14.0, Mission: 2.0/0.0 - Counterfactual","Mission: 2.0/0.0, Risktol: 7.0/8.0 - Counterfactual","Prompt: 9.0/14.0, Mission: 6.0/0.0, Risktol: 7.0/8.0 - Counterfactual","Prompt: 9.0/14.0, Mission: 2.0/0.0, Risktol: 7.0/8.0 - Counterfactual"
[128],10,[ 4 10 10 10 10],Case: 135 / Pred: 4,Case: 140 / Pred: 10,Case: 142 / Pred: 10,Case: 216 / Pred: 10,Case: 141 / Pred: 10,"[135, 140, 142, 216, 141]","[0.4683974516975649, 0.4683974516975649, 0.4683974516975649, 0.46761686750740306, 0.46711980708505946]","Mission: 2.0/8.0, Denial: 3.0/7.0 - Counterfactual","Mission: 6.0/8.0, Denial: 3.0/7.0 - Non-Counterfactual","Mission: 4.0/8.0, Denial: 2.0/7.0 - Non-Counterfactual","Prompt: 10.0/15.0, Mission: 3.0/8.0, Denial: 3.0/7.0 - Non-Counterfactual","Mission: 6.0/8.0, Risktol: 3.0/2.0, Timeurg: 3.0/2.0 - Non-Counterfactual"
[129],10,[10 10 10 10 10],Case: 220 / Pred: 10,Case: 221 / Pred: 10,Case: 222 / Pred: 10,Case: 130 / Pred: 10,Case: 209 / Pred: 10,"[220, 221, 222, 130, 209]","[0.46761686750740306, 0.46761686750740306, 0.46761686750740306, 0.4675800195640902, 0.46633708429830734]","Prompt: 10.0/15.0, Mission: 3.0/7.0, Denial: 4.0/2.0 - Non-Counterfactual","Prompt: 10.0/15.0, Mission: 6.0/7.0, Denial: 4.0/2.0 - Non-Counterfactual","Prompt: 10.0/15.0, Mission: 6.0/7.0, Denial: 4.0/2.0 - Non-Counterfactual","Denial: 3.0/2.0, Timeurg: 7.0/4.0 - Non-Counterfactual","Prompt: 10.0/15.0, Mission: 6.0/7.0, Risktol: 3.0/4.0, Timeurg: 2.0/4.0 - Non-Counterfactual"
[130],10,[10 10 10 10 10],Case: 133 / Pred: 10,Case: 213 / Pred: 10,Case: 129 / Pred: 10,Case: 214 / Pred: 10,Case: 217 / Pred: 10,"[133, 213, 129, 214, 217]","[0.46876049692328564, 0.46832961993024863, 0.4675800195640902, 0.4673880195312563, 0.46716235661192934]","Mission: 4.0/7.0, Risktol: 2.0/4.0 - Non-Counterfactual","Prompt: 10.0/15.0, Denial: 6.0/3.0, Risktol: 3.0/4.0 - Non-Counterfactual","Denial: 2.0/3.0, Timeurg: 4.0/7.0 - Non-Counterfactual","Prompt: 10.0/15.0, Mission: 3.0/7.0, Timeurg: 6.0/7.0 - Non-Counterfactual","Prompt: 10.0/15.0, Risktol: 2.0/4.0, Timeurg: 6.0/7.0 - Non-Counterfactual"
[131],4,[10 10  4 10 10],Case: 133 / Pred: 10,Case: 142 / Pred: 10,Case: 135 / Pred: 4,Case: 213 / Pred: 10,Case: 130 / Pred: 10,"[133, 142, 135, 213, 130]","[0.4683974516975649, 0.46816898528275724, 0.4675800195640902, 0.4665664477520139, 0.46640850834279995]","Mission: 4.0/2.0, Denial: 3.0/2.0 - Counterfactual","Mission: 4.0/2.0, Timeurg: 2.0/7.0 - Counterfactual","Denial: 3.0/2.0, Timeurg: 2.0/7.0 - Non-Counterfactual","Prompt: 10.0/15.0, Mission: 7.0/2.0, Denial: 6.0/2.0, Risktol: 3.0/2.0 - Counterfactual","Mission: 7.0/2.0, Denial: 3.0/2.0, Risktol: 4.0/2.0 - Counterfactual"
[132],10,[10 10 10 10 10],Case: 210 / Pred: 10,Case: 134 / Pred: 10,Case: 218 / Pred: 10,Case: 138 / Pred: 10,Case: 208 / Pred: 10,"[210, 134, 218, 138, 208]","[0.46891764414355613, 0.4688808984243883, 0.4673880195312563, 0.46711980708505946, 0.4667980684581058]","Prompt: 10.0/15.0, Mission: 6.0/2.0, Risktol: 7.0/8.0 - Non-Counterfactual","Risktol: 7.0/8.0, Timeurg: 2.0/3.0 - Non-Counterfactual","Prompt: 10.0/15.0, Mission: 6.0/2.0, Timeurg: 8.0/3.0 - Non-Counterfactual","Mission: 7.0/2.0, Risktol: 7.0/8.0, Timeurg: 8.0/3.0 - Non-Counterfactual","Prompt: 10.0/15.0, Denial: 8.0/3.0, Timeurg: 7.0/3.0 - Non-Counterfactual"
[133],10,[10  4  4 10 10],Case: 130 / Pred: 10,Case: 131 / Pred: 4,Case: 135 / Pred: 4,Case: 140 / Pred: 10,Case: 142 / Pred: 10,"[130, 131, 135, 140, 142]","[0.46876049692328564, 0.4683974516975649, 0.46816898528275724, 0.46816898528275724, 0.4675800195640902]","Mission: 7.0/4.0, Risktol: 4.0/2.0 - Non-Counterfactual","Mission: 2.0/4.0, Denial: 2.0/3.0 - Counterfactual","Mission: 2.0/4.0, Timeurg: 2.0/7.0 - Counterfactual","Mission: 6.0/4.0, Timeurg: 2.0/7.0 - Non-Counterfactual","Denial: 2.0/3.0, Timeurg: 2.0/7.0 - Non-Counterfactual"
[134],10,[10  4  4 10 10],Case: 132 / Pred: 10,Case: 143 / Pred: 4,Case: 135 / Pred: 4,Case: 138 / Pred: 10,Case: 210 / Pred: 10,"[132, 143, 135, 138, 210]","[0.4688808984243883, 0.4683974516975649, 0.4683701212016436, 0.46816898528275724, 0.4673880195312563]","Risktol: 8.0/7.0, Timeurg: 3.0/2.0 - Non-Counterfactual","Mission: 0.0/2.0, Denial: 2.0/3.0 - Counterfactual",Risktol: 2.0/7.0 - Counterfactual,"Mission: 7.0/2.0, Timeurg: 8.0/2.0 - Non-Counterfactual","Prompt: 10.0/15.0, Mission: 6.0/2.0, Timeurg: 3.0/2.0 - Non-Counterfactual"
[135],4,[10 10  4 10 10],Case: 140 / Pred: 10,Case: 216 / Pred: 10,Case: 223 / Pred: 4,Case: 128 / Pred: 10,Case: 142 / Pred: 10,"[140, 216, 223, 128, 142]","[0.4707395028866631, 0.46996280873984714, 0.46891764414355613, 0.4683974516975649, 0.4683974516975649]",Mission: 6.0/2.0 - Counterfactual,"Prompt: 10.0/15.0, Mission: 3.0/2.0 - Counterfactual","Prompt: 10.0/15.0, Mission: 0.0/2.0, Risktol: 3.0/2.0 - Non-Counterfactual","Mission: 8.0/2.0, Denial: 7.0/3.0 - Counterfactual","Mission: 4.0/2.0, Denial: 2.0/3.0 - Counterfactual"
[136],10,[10 10 10 10  4],Case: 137 / Pred: 10,Case: 140 / Pred: 10,Case: 218 / Pred: 10,Case: 141 / Pred: 10,Case: 223 / Pred: 4,"[137, 140, 218, 141, 223]","[0.4696914815449822, 0.4688808984243883, 0.46758949138652145, 0.4675800195640902, 0.4673880195312563]",Risktol: 6.0/3.0 - Non-Counterfactual,"Risktol: 2.0/3.0, Timeurg: 2.0/8.0 - Non-Counterfactual","Prompt: 10.0/15.0, Risktol: 8.0/3.0 - Non-Counterfactual","Denial: 7.0/3.0, Timeurg: 3.0/8.0 - Non-Counterfactual","Prompt: 10.0/15.0, Mission: 0.0/6.0, Timeurg: 2.0/8.0 - Counterfactual"
[137],10,[10 10 10 10 10],Case: 218 / Pred: 10,Case: 138 / Pred: 10,Case: 136 / Pred: 10,Case: 210 / Pred: 10,Case: 134 / Pred: 10,"[218, 138, 136, 210, 134]","[0.46973838275417473, 0.46969606658825586, 0.4696914815449822, 0.4681011204087478, 0.46711980708505946]","Prompt: 10.0/15.0, Risktol: 8.0/6.0 - Non-Counterfactual","Mission: 7.0/6.0, Risktol: 7.0/6.0 - Non-Counterfactual",Risktol: 3.0/6.0 - Non-Counterfactual,"Prompt: 10.0/15.0, Risktol: 7.0/6.0, Timeurg: 3.0/8.0 - Non-Counterfactual","Mission: 2.0/6.0, Risktol: 7.0/6.0, Timeurg: 2.0/8.0 - Non-Counterfactual"
[138],10,[10 10 10 10  4],Case: 137 / Pred: 10,Case: 218 / Pred: 10,Case: 134 / Pred: 10,Case: 210 / Pred: 10,Case: 139 / Pred: 4,"[137, 218, 134, 210, 139]","[0.46969606658825586, 0.46891764414355613, 0.46816898528275724, 0.4673880195312563, 0.4673487863975569]","Mission: 6.0/7.0, Risktol: 6.0/7.0 - Non-Counterfactual","Prompt: 10.0/15.0, Mission: 6.0/7.0, Risktol: 8.0/7.0 - Non-Counterfactual","Mission: 2.0/7.0, Timeurg: 2.0/8.0 - Non-Counterfactual","Prompt: 10.0/15.0, Mission: 6.0/7.0, Timeurg: 3.0/8.0 - Non-Counterfactual","Mission: 8.0/7.0, Denial: 7.0/3.0, Risktol: 8.0/7.0 - Counterfactual"
[139],4,[10 10 10 10 10],Case: 218 / Pred: 10,Case: 138 / Pred: 10,Case: 137 / Pred: 10,Case: 132 / Pred: 10,Case: 128 / Pred: 10,"[218, 138, 137, 132, 128]","[0.46761686750740306, 0.4673487863975569, 0.46640850834279995, 0.4658140100506602, 0.465287299000942]","Prompt: 10.0/15.0, Mission: 6.0/8.0, Denial: 3.0/7.0 - Counterfactual","Mission: 7.0/8.0, Denial: 3.0/7.0, Risktol: 7.0/8.0 - Counterfactual","Mission: 6.0/8.0, Denial: 3.0/7.0, Risktol: 6.0/8.0 - Counterfactual","Mission: 2.0/8.0, Denial: 3.0/7.0, Timeurg: 3.0/8.0 - Counterfactual","Risktol: 2.0/8.0, Timeurg: 2.0/8.0 - Counterfactual"
[140],10,[ 4 10  4 10 10],Case: 135 / Pred: 4,Case: 216 / Pred: 10,Case: 223 / Pred: 4,Case: 136 / Pred: 10,Case: 128 / Pred: 10,"[135, 216, 223, 136, 128]","[0.4707395028866631, 0.46996280873984714, 0.46891764414355613, 0.4688808984243883, 0.4683974516975649]",Mission: 2.0/6.0 - Counterfactual,"Prompt: 10.0/15.0, Mission: 3.0/6.0 - Non-Counterfactual","Prompt: 10.0/15.0, Mission: 0.0/6.0, Risktol: 3.0/2.0 - Counterfactual","Risktol: 3.0/2.0, Timeurg: 8.0/2.0 - Non-Counterfactual","Mission: 8.0/6.0, Denial: 7.0/3.0 - Non-Counterfactual"
[141],10,[ 4 10 10 10  4],Case: 211 / Pred: 4,Case: 136 / Pred: 10,Case: 128 / Pred: 10,Case: 209 / Pred: 10,Case: 219 / Pred: 4,"[211, 136, 128, 209, 219]","[0.4693760938879552, 0.4675800195640902, 0.46711980708505946, 0.4667980684581058, 0.4665664477520139]","Prompt: 10.0/15.0, Denial: 2.0/7.0 - Counterfactual","Denial: 3.0/7.0, Timeurg: 8.0/3.0 - Non-Counterfactual","Mission: 8.0/6.0, Risktol: 2.0/3.0, Timeurg: 2.0/3.0 - Non-Counterfactual","Prompt: 10.0/15.0, Denial: 2.0/7.0, Timeurg: 2.0/3.0 - Non-Counterfactual","Prompt: 10.0/15.0, Mission: 8.0/6.0, Denial: 3.0/7.0, Risktol: 2.0/3.0 - Counterfactual"
[142],10,[10 10  4 10  4],Case: 209 / Pred: 10,Case: 128 / Pred: 10,Case: 135 / Pred: 4,Case: 140 / Pred: 10,Case: 131 / Pred: 4,"[209, 128, 135, 140, 131]","[0.46891764414355613, 0.4683974516975649, 0.4683974516975649, 0.4683974516975649, 0.46816898528275724]","Prompt: 10.0/15.0, Mission: 6.0/4.0, Risktol: 3.0/2.0 - Non-Counterfactual","Mission: 8.0/4.0, Denial: 7.0/2.0 - Non-Counterfactual","Mission: 2.0/4.0, Denial: 3.0/2.0 - Counterfactual","Mission: 6.0/4.0, Denial: 3.0/2.0 - Non-Counterfactual","Mission: 2.0/4.0, Timeurg: 7.0/2.0 - Counterfactual"
[143],4,[10  4 10 10  4],Case: 134 / Pred: 10,Case: 215 / Pred: 4,Case: 142 / Pred: 10,Case: 209 / Pred: 10,Case: 223 / Pred: 4,"[134, 215, 142, 209, 223]","[0.4683974516975649, 0.4673880195312563, 0.46660710206592865, 0.46643291249800495, 0.46584175186026416]","Mission: 2.0/0.0, Denial: 3.0/2.0 - Counterfactual","Prompt: 10.0/15.0, Mission: 3.0/0.0, Timeurg: 3.0/2.0 - Non-Counterfactual","Mission: 4.0/0.0, Risktol: 2.0/7.0 - Counterfactual","Prompt: 10.0/15.0, Mission: 6.0/0.0, Risktol: 3.0/7.0 - Counterfactual","Prompt: 10.0/15.0, Denial: 3.0/2.0, Risktol: 3.0/7.0 - Non-Counterfactual"
[144],10,[10  3 10  4 10],Case: 225 / Pred: 10,Case: 239 / Pred: 3,Case: 158 / Pred: 10,Case: 159 / Pred: 4,Case: 156 / Pred: 10,"[225, 239, 158, 159, 156]","[0.46914810405396334, 0.46914810405396334, 0.46816898528275724, 0.46816898528275724, 0.4675800195640902]","Prompt: 11.0/16.0, Timeurg: 2.0/7.0 - Non-Counterfactual","Prompt: 11.0/16.0, Timeurg: 4.0/7.0 - Counterfactual","Mission: 0.0/8.0, Timeurg: 2.0/7.0 - Non-Counterfactual","Mission: 4.0/8.0, Timeurg: 2.0/7.0 - Counterfactual","Denial: 3.0/2.0, Timeurg: 2.0/7.0 - Non-Counterfactual"
[145],10,[ 4 10  4 10 10],Case: 147 / Pred: 4,Case: 158 / Pred: 10,Case: 159 / Pred: 4,Case: 225 / Pred: 10,Case: 238 / Pred: 10,"[147, 158, 159, 225, 238]","[0.47248710280182366, 0.46969606658825586, 0.46969606658825586, 0.46891764414355613, 0.46891764414355613]", - Counterfactual,"Mission: 0.0/2.0, Risktol: 2.0/3.0 - Non-Counterfactual","Mission: 4.0/2.0, Risktol: 2.0/3.0 - Counterfactual","Prompt: 11.0/16.0, Mission: 8.0/2.0, Risktol: 2.0/3.0 - Non-Counterfactual","Prompt: 11.0/16.0, Mission: 0.0/2.0, Risktol: 2.0/3.0 - Non-Counterfactual"
[146],10,[10  3 10 10  3],Case: 153 / Pred: 10,Case: 227 / Pred: 3,Case: 236 / Pred: 10,Case: 152 / Pred: 10,Case: 231 / Pred: 3,"[153, 227, 236, 152, 231]","[0.46734417832547176, 0.46716235661192934, 0.4665664477520139, 0.46640850834279995, 0.46574580202801075]","Denial: 3.0/2.0, Risktol: 3.0/6.0 - Non-Counterfactual","Prompt: 11.0/16.0, Risktol: 4.0/6.0, Timeurg: 3.0/8.0 - Counterfactual","Prompt: 11.0/16.0, Mission: 2.0/7.0, Denial: 8.0/2.0, Risktol: 7.0/6.0 - Non-Counterfactual","Mission: 8.0/7.0, Denial: 7.0/2.0, Risktol: 8.0/6.0 - Non-Counterfactual","Prompt: 11.0/16.0, Denial: 7.0/2.0, Risktol: 7.0/6.0, Timeurg: 7.0/8.0 - Counterfactual"
[147],4,[10 10  4 10 10],Case: 145 / Pred: 10,Case: 158 / Pred: 10,Case: 159 / Pred: 4,Case: 225 / Pred: 10,Case: 238 / Pred: 10,"[145, 158, 159, 225, 238]","[0.47248710280182366, 0.46969606658825586, 0.46969606658825586, 0.46891764414355613, 0.46891764414355613]", - Counterfactual,"Mission: 0.0/2.0, Risktol: 2.0/3.0 - Counterfactual","Mission: 4.0/2.0, Risktol: 2.0/3.0 - Non-Counterfactual","Prompt: 11.0/16.0, Mission: 8.0/2.0, Risktol: 2.0/3.0 - Counterfactual","Prompt: 11.0/16.0, Mission: 0.0/2.0, Risktol: 2.0/3.0 - Counterfactual"
[148],10,[10 10 10  4 10],Case: 157 / Pred: 10,Case: 226 / Pred: 10,Case: 230 / Pred: 10,Case: 151 / Pred: 4,Case: 153 / Pred: 10,"[157, 226, 230, 151, 153]","[0.47248710280182366, 0.47067200864850794, 0.46996280873984714, 0.4699261447469857, 0.4699261447469857]", - Non-Counterfactual,"Prompt: 11.0/16.0, Risktol: 2.0/3.0 - Non-Counterfactual","Prompt: 11.0/16.0, Mission: 2.0/7.0 - Non-Counterfactual",Timeurg: 4.0/3.0 - Counterfactual,Timeurg: 8.0/3.0 - Non-Counterfactual
[149],10,[ 4  4 10 10 10],Case: 151 / Pred: 4,Case: 155 / Pred: 4,Case: 150 / Pred: 10,Case: 148 / Pred: 10,Case: 153 / Pred: 10,"[151, 155, 150, 148, 153]","[0.4707395028866631, 0.4707395028866631, 0.4688808984243883, 0.46816898528275724, 0.46816898528275724]",Mission: 7.0/4.0 - Counterfactual,Mission: 8.0/4.0 - Counterfactual,"Risktol: 2.0/3.0, Timeurg: 2.0/4.0 - Non-Counterfactual","Mission: 7.0/4.0, Timeurg: 3.0/4.0 - Non-Counterfactual","Mission: 7.0/4.0, Timeurg: 8.0/4.0 - Non-Counterfactual"
[150],10,[10  4 10 10 10],Case: 156 / Pred: 10,Case: 159 / Pred: 4,Case: 232 / Pred: 10,Case: 149 / Pred: 10,Case: 158 / Pred: 10,"[156, 159, 232, 149, 158]","[0.4707395028866631, 0.47015375728888, 0.46996280873984714, 0.4688808984243883, 0.4683974516975649]",Mission: 8.0/4.0 - Non-Counterfactual,Denial: 2.0/3.0 - Counterfactual,"Prompt: 11.0/16.0, Mission: 2.0/4.0 - Non-Counterfactual","Risktol: 3.0/2.0, Timeurg: 4.0/2.0 - Non-Counterfactual","Mission: 0.0/4.0, Denial: 2.0/3.0 - Non-Counterfactual"
[151],4,[10  4 10 10 10],Case: 149 / Pred: 10,Case: 155 / Pred: 4,Case: 148 / Pred: 10,Case: 153 / Pred: 10,Case: 157 / Pred: 10,"[149, 155, 148, 153, 157]","[0.4707395028866631, 0.4707395028866631, 0.4699261447469857, 0.4699261447469857, 0.4699261447469857]",Mission: 4.0/7.0 - Counterfactual,Mission: 8.0/7.0 - Non-Counterfactual,Timeurg: 3.0/4.0 - Counterfactual,Timeurg: 8.0/4.0 - Counterfactual,Timeurg: 3.0/4.0 - Counterfactual
[152],10,[10  3 10 10 10],Case: 228 / Pred: 10,Case: 235 / Pred: 3,Case: 224 / Pred: 10,Case: 236 / Pred: 10,Case: 146 / Pred: 10,"[228, 235, 224, 236, 146]","[0.46996280873984714, 0.4693760938879552, 0.46761686750740306, 0.4665664477520139, 0.46640850834279995]","Prompt: 11.0/16.0, Mission: 2.0/8.0 - Non-Counterfactual","Prompt: 11.0/16.0, Denial: 3.0/7.0 - Counterfactual","Prompt: 11.0/16.0, Mission: 2.0/8.0, Denial: 8.0/7.0 - Non-Counterfactual","Prompt: 11.0/16.0, Mission: 2.0/8.0, Denial: 8.0/7.0, Risktol: 7.0/8.0 - Non-Counterfactual","Mission: 7.0/8.0, Denial: 2.0/7.0, Risktol: 6.0/8.0 - Non-Counterfactual"
[153],10,[10  4 10 10  4],Case: 148 / Pred: 10,Case: 151 / Pred: 4,Case: 157 / Pred: 10,Case: 149 / Pred: 10,Case: 155 / Pred: 4,"[148, 151, 157, 149, 155]","[0.4699261447469857, 0.4699261447469857, 0.4699261447469857, 0.46816898528275724, 0.46816898528275724]",Timeurg: 3.0/8.0 - Non-Counterfactual,Timeurg: 4.0/8.0 - Counterfactual,Timeurg: 3.0/8.0 - Non-Counterfactual,"Mission: 4.0/7.0, Timeurg: 4.0/8.0 - Non-Counterfactual","Mission: 8.0/7.0, Timeurg: 4.0/8.0 - Counterfactual"
[154],10,[ 3 10 10 10  3],Case: 231 / Pred: 3,Case: 233 / Pred: 10,Case: 234 / Pred: 10,Case: 229 / Pred: 10,Case: 235 / Pred: 3,"[231, 233, 234, 229, 235]","[0.46761686750740306, 0.4673880195312563, 0.4673880195312563, 0.4665664477520139, 0.46633708429830734]","Prompt: 11.0/16.0, Mission: 7.0/6.0, Denial: 7.0/3.0 - Counterfactual","Prompt: 11.0/16.0, Mission: 7.0/6.0, Timeurg: 6.0/7.0 - Non-Counterfactual","Prompt: 11.0/16.0, Mission: 7.0/6.0, Timeurg: 6.0/7.0 - Non-Counterfactual","Prompt: 11.0/16.0, Mission: 3.0/6.0, Denial: 6.0/3.0, Risktol: 6.0/7.0 - Non-Counterfactual","Prompt: 11.0/16.0, Mission: 8.0/6.0, Risktol: 8.0/7.0, Timeurg: 8.0/7.0 - Counterfactual"
[155],4,[10  4 10  3 10],Case: 149 / Pred: 10,Case: 151 / Pred: 4,Case: 156 / Pred: 10,Case: 239 / Pred: 3,Case: 148 / Pred: 10,"[149, 151, 156, 239, 148]","[0.4707395028866631, 0.4707395028866631, 0.4688808984243883, 0.46832961993024863, 0.46816898528275724]",Mission: 4.0/8.0 - Counterfactual,Mission: 7.0/8.0 - Non-Counterfactual,"Risktol: 2.0/3.0, Timeurg: 2.0/4.0 - Counterfactual","Prompt: 11.0/16.0, Denial: 2.0/3.0, Risktol: 2.0/3.0 - Counterfactual","Mission: 7.0/8.0, Timeurg: 3.0/4.0 - Counterfactual"
[156],10,[10 10 10  4 10],Case: 150 / Pred: 10,Case: 232 / Pred: 10,Case: 225 / Pred: 10,Case: 155 / Pred: 4,Case: 158 / Pred: 10,"[150, 232, 225, 155, 158]","[0.4707395028866631, 0.46996280873984714, 0.4693760938879552, 0.4688808984243883, 0.4683974516975649]",Mission: 4.0/8.0 - Non-Counterfactual,"Prompt: 11.0/16.0, Mission: 2.0/8.0 - Non-Counterfactual","Prompt: 11.0/16.0, Denial: 2.0/3.0 - Non-Counterfactual","Risktol: 3.0/2.0, Timeurg: 4.0/2.0 - Counterfactual","Mission: 0.0/8.0, Denial: 2.0/3.0 - Non-Counterfactual"
[157],10,[10 10 10  4 10],Case: 148 / Pred: 10,Case: 226 / Pred: 10,Case: 230 / Pred: 10,Case: 151 / Pred: 4,Case: 153 / Pred: 10,"[148, 226, 230, 151, 153]","[0.47248710280182366, 0.47067200864850794, 0.46996280873984714, 0.4699261447469857, 0.4699261447469857]", - Non-Counterfactual,"Prompt: 11.0/16.0, Risktol: 2.0/3.0 - Non-Counterfactual","Prompt: 11.0/16.0, Mission: 2.0/7.0 - Non-Counterfactual",Timeurg: 4.0/3.0 - Counterfactual,Timeurg: 8.0/3.0 - Non-Counterfactual
[158],10,[10  4 10 10  4],Case: 238 / Pred: 10,Case: 159 / Pred: 4,Case: 225 / Pred: 10,Case: 145 / Pred: 10,Case: 147 / Pred: 4,"[238, 159, 225, 145, 147]","[0.47171328615455016, 0.4707395028866631, 0.46996280873984714, 0.46969606658825586, 0.46969606658825586]",Prompt: 11.0/16.0 - Non-Counterfactual,Mission: 4.0/0.0 - Counterfactual,"Prompt: 11.0/16.0, Mission: 8.0/0.0 - Non-Counterfactual","Mission: 2.0/0.0, Risktol: 3.0/2.0 - Non-Counterfactual","Mission: 2.0/0.0, Risktol: 3.0/2.0 - Counterfactual"
[159],4,[10 10 10 10 10],Case: 158 / Pred: 10,Case: 150 / Pred: 10,Case: 225 / Pred: 10,Case: 238 / Pred: 10,Case: 145 / Pred: 10,"[158, 150, 225, 238, 145]","[0.4707395028866631, 0.47015375728888, 0.46996280873984714, 0.46996280873984714, 0.46969606658825586]",Mission: 0.0/4.0 - Counterfactual,Denial: 3.0/2.0 - Counterfactual,"Prompt: 11.0/16.0, Mission: 8.0/4.0 - Counterfactual","Prompt: 11.0/16.0, Mission: 0.0/4.0 - Counterfactual","Mission: 2.0/4.0, Risktol: 3.0/2.0 - Counterfactual"
