Case,Actual Outcome,Actual Outcome of 5 Most Similar Cases,Similarity#1,Similarity#2,Similarity#3,Similarity#4,Similarity#5,Top 5 Most Similar Case Index,Similarity Score,Diff_Attributes: Most Similar Variation 1,Diff_Attributes: Most Similar Variation 2,Diff_Attributes: Most Similar Variation 3,Diff_Attributes: Most Similar Variation 4,Diff_Attributes: Most Similar Variation 5
33,9,[ 9 11 11 10 11],Case: 37 / Pred: 9,Case: 34 / Pred: 11,Case: 38 / Pred: 11,Case: 43 / Pred: 10,Case: 46 / Pred: 11,"[37, 34, 38, 43, 46]","[0.3405866100367219, 0.33920314355080317, 0.33920314355080317, 0.33920314355080317, 0.33920314355080317]",Denial: 6.0/2.0 - Non-Counterfactual,"Mission: 8.0/7.0, Risktol: 2.0/7.0, Timeurg: 7.0/3.0 - Counterfactual","Mission: 8.0/7.0, Risktol: 6.0/7.0, Timeurg: 7.0/3.0 - Counterfactual","Mission: 2.0/7.0, Risktol: 2.0/7.0, Timeurg: 8.0/3.0 - Counterfactual","Mission: 6.0/7.0, Risktol: 2.0/7.0, Timeurg: 0.0/3.0 - Counterfactual"
34,11,[11 10 11  9  9],Case: 38 / Pred: 11,Case: 43 / Pred: 10,Case: 46 / Pred: 11,Case: 45 / Pred: 9,Case: 33 / Pred: 9,"[38, 43, 46, 45, 33]","[0.3403081901700035, 0.3399004544545376, 0.3399004544545376, 0.3394824697009694, 0.33920314355080317]",Risktol: 6.0/2.0 - Non-Counterfactual,"Mission: 2.0/8.0, Timeurg: 8.0/7.0 - Counterfactual","Mission: 6.0/8.0, Timeurg: 0.0/7.0 - Non-Counterfactual","Mission: 4.0/8.0, Denial: 8.0/2.0, Timeurg: 6.0/7.0 - Counterfactual","Mission: 7.0/8.0, Risktol: 7.0/2.0, Timeurg: 3.0/7.0 - Counterfactual"
35,10,[10 10 10  9  9],Case: 47 / Pred: 10,Case: 43 / Pred: 10,Case: 39 / Pred: 10,Case: 41 / Pred: 9,Case: 45 / Pred: 9,"[47, 43, 39, 41, 45]","[0.3403081901700035, 0.33989070683478784, 0.33940082184166687, 0.33920314355080317, 0.33920314355080317]",Risktol: 0.0/8.0 - Non-Counterfactual,"Denial: 2.0/8.0, Risktol: 2.0/8.0 - Non-Counterfactual","Risktol: 3.0/8.0, Timeurg: 2.0/8.0 - Non-Counterfactual","Mission: 8.0/2.0, Risktol: 6.0/8.0, Timeurg: 6.0/8.0 - Counterfactual","Mission: 4.0/2.0, Risktol: 2.0/8.0, Timeurg: 6.0/8.0 - Counterfactual"
36,12,[12 12 12 12 12],Case: 32 / Pred: 12,Case: 40 / Pred: 12,Case: 44 / Pred: 12,Case: 48 / Pred: 12,Case: 52 / Pred: 12,"[32, 40, 44, 48, 52]","[0.34080649255609197, 0.3387842984711883, 0.3387842984711883, 0.328884830009849, 0.32836843687998546]",Mission: 3.0/2.0 - Non-Counterfactual,"Mission: 8.0/2.0, Denial: 3.0/2.0, Risktol: 3.0/8.0, Timeurg: 6.0/2.0 - Non-Counterfactual","Mission: 7.0/2.0, Denial: 8.0/2.0, Risktol: 0.0/8.0, Timeurg: 8.0/2.0 - Non-Counterfactual","Prompt: 3.0/2.0, Age: 40.0/36.0, Rank: 0.0/1.0, Location: 3.0/0.0, Mission: 3.0/2.0, Denial: 8.0/2.0 - Non-Counterfactual","Prompt: 3.0/2.0, Age: 40.0/36.0, Rank: 0.0/1.0, Location: 3.0/0.0, Denial: 8.0/2.0, Risktol: 2.0/8.0 - Non-Counterfactual"
37,9,[ 9 11 10 11 10],Case: 33 / Pred: 9,Case: 34 / Pred: 11,Case: 35 / Pred: 10,Case: 38 / Pred: 11,Case: 39 / Pred: 10,"[33, 34, 35, 38, 39]","[0.3405866100367219, 0.3387842984711883, 0.3387842984711883, 0.3387842984711883, 0.3387842984711883]",Denial: 2.0/6.0 - Non-Counterfactual,"Mission: 8.0/7.0, Denial: 2.0/6.0, Risktol: 2.0/7.0, Timeurg: 7.0/3.0 - Counterfactual","Mission: 2.0/7.0, Denial: 8.0/6.0, Risktol: 8.0/7.0, Timeurg: 8.0/3.0 - Counterfactual","Mission: 8.0/7.0, Denial: 2.0/6.0, Risktol: 6.0/7.0, Timeurg: 7.0/3.0 - Counterfactual","Mission: 2.0/7.0, Denial: 8.0/6.0, Risktol: 3.0/7.0, Timeurg: 2.0/3.0 - Counterfactual"
38,11,[11  9  9 10 11],Case: 34 / Pred: 11,Case: 41 / Pred: 9,Case: 33 / Pred: 9,Case: 43 / Pred: 10,Case: 46 / Pred: 11,"[34, 41, 33, 43, 46]","[0.3403081901700035, 0.3396799854367662, 0.33920314355080317, 0.33920314355080317, 0.33920314355080317]",Risktol: 2.0/6.0 - Non-Counterfactual,"Denial: 8.0/2.0, Timeurg: 6.0/7.0 - Counterfactual","Mission: 7.0/8.0, Risktol: 7.0/6.0, Timeurg: 3.0/7.0 - Counterfactual","Mission: 2.0/8.0, Risktol: 2.0/6.0, Timeurg: 8.0/7.0 - Counterfactual","Mission: 6.0/8.0, Risktol: 2.0/6.0, Timeurg: 0.0/7.0 - Non-Counterfactual"
39,10,[11 10 10  9  9],Case: 42 / Pred: 11,Case: 35 / Pred: 10,Case: 47 / Pred: 10,Case: 41 / Pred: 9,Case: 45 / Pred: 9,"[42, 35, 47, 41, 45]","[0.3394824697009694, 0.33940082184166687, 0.33940082184166687, 0.33920314355080317, 0.33920314355080317]","Mission: 4.0/2.0, Denial: 3.0/8.0, Timeurg: 6.0/2.0 - Counterfactual","Risktol: 8.0/3.0, Timeurg: 8.0/2.0 - Non-Counterfactual","Risktol: 0.0/3.0, Timeurg: 8.0/2.0 - Non-Counterfactual","Mission: 8.0/2.0, Risktol: 6.0/3.0, Timeurg: 6.0/2.0 - Counterfactual","Mission: 4.0/2.0, Risktol: 2.0/3.0, Timeurg: 6.0/2.0 - Counterfactual"
40,12,[12 12 12 12 12],Case: 32 / Pred: 12,Case: 36 / Pred: 12,Case: 44 / Pred: 12,Case: 48 / Pred: 12,Case: 52 / Pred: 12,"[32, 36, 44, 48, 52]","[0.3387842984711883, 0.3387842984711883, 0.3387842984711883, 0.32722307167583475, 0.32722307167583475]","Mission: 3.0/8.0, Denial: 2.0/3.0, Risktol: 8.0/3.0, Timeurg: 2.0/6.0 - Non-Counterfactual","Mission: 2.0/8.0, Denial: 2.0/3.0, Risktol: 8.0/3.0, Timeurg: 2.0/6.0 - Non-Counterfactual","Mission: 7.0/8.0, Denial: 8.0/3.0, Risktol: 0.0/3.0, Timeurg: 8.0/6.0 - Non-Counterfactual","Prompt: 3.0/2.0, Age: 40.0/36.0, Rank: 0.0/1.0, Location: 3.0/0.0, Mission: 3.0/8.0, Denial: 8.0/3.0, Risktol: 8.0/3.0, Timeurg: 2.0/6.0 - Non-Counterfactual","Prompt: 3.0/2.0, Age: 40.0/36.0, Rank: 0.0/1.0, Location: 3.0/0.0, Mission: 2.0/8.0, Denial: 8.0/3.0, Risktol: 2.0/3.0, Timeurg: 2.0/6.0 - Non-Counterfactual"
41,9,[ 9 11 11 10 10],Case: 45 / Pred: 9,Case: 42 / Pred: 11,Case: 38 / Pred: 11,Case: 35 / Pred: 10,Case: 39 / Pred: 10,"[45, 42, 38, 35, 39]","[0.3401110392573743, 0.33969331362362665, 0.3396799854367662, 0.33920314355080317, 0.33920314355080317]","Mission: 4.0/8.0, Risktol: 2.0/6.0 - Non-Counterfactual","Mission: 4.0/8.0, Denial: 3.0/8.0, Risktol: 3.0/6.0 - Counterfactual","Denial: 2.0/8.0, Timeurg: 7.0/6.0 - Counterfactual","Mission: 2.0/8.0, Risktol: 8.0/6.0, Timeurg: 8.0/6.0 - Counterfactual","Mission: 2.0/8.0, Risktol: 3.0/6.0, Timeurg: 2.0/6.0 - Counterfactual"
42,11,[ 9  9 10  9 11],Case: 45 / Pred: 9,Case: 41 / Pred: 9,Case: 39 / Pred: 10,Case: 33 / Pred: 9,Case: 34 / Pred: 11,"[45, 41, 39, 33, 34]","[0.33989070683478784, 0.33969331362362665, 0.3394824697009694, 0.3387842984711883, 0.3387842984711883]","Denial: 8.0/3.0, Risktol: 2.0/3.0 - Counterfactual","Mission: 8.0/4.0, Denial: 8.0/3.0, Risktol: 6.0/3.0 - Counterfactual","Mission: 2.0/4.0, Denial: 8.0/3.0, Timeurg: 2.0/6.0 - Counterfactual","Mission: 7.0/4.0, Denial: 2.0/3.0, Risktol: 7.0/3.0, Timeurg: 3.0/6.0 - Counterfactual","Mission: 8.0/4.0, Denial: 2.0/3.0, Risktol: 2.0/3.0, Timeurg: 7.0/6.0 - Non-Counterfactual"
43,10,[11 11 10 10  9],Case: 34 / Pred: 11,Case: 46 / Pred: 11,Case: 35 / Pred: 10,Case: 47 / Pred: 10,Case: 45 / Pred: 9,"[34, 46, 35, 47, 45]","[0.3399004544545376, 0.3399004544545376, 0.33989070683478784, 0.33989070683478784, 0.3394824697009694]","Mission: 8.0/2.0, Timeurg: 7.0/8.0 - Counterfactual","Mission: 6.0/2.0, Timeurg: 0.0/8.0 - Counterfactual","Denial: 8.0/2.0, Risktol: 8.0/2.0 - Non-Counterfactual","Denial: 8.0/2.0, Risktol: 0.0/2.0 - Non-Counterfactual","Mission: 4.0/2.0, Denial: 8.0/2.0, Timeurg: 6.0/8.0 - Counterfactual"
44,12,[12 12 12 12 12],Case: 32 / Pred: 12,Case: 36 / Pred: 12,Case: 40 / Pred: 12,Case: 56 / Pred: 12,Case: 60 / Pred: 12,"[32, 36, 40, 56, 60]","[0.3387842984711883, 0.3387842984711883, 0.3387842984711883, 0.3285964953724925, 0.3285964953724925]","Mission: 3.0/7.0, Denial: 2.0/8.0, Risktol: 8.0/0.0, Timeurg: 2.0/8.0 - Non-Counterfactual","Mission: 2.0/7.0, Denial: 2.0/8.0, Risktol: 8.0/0.0, Timeurg: 2.0/8.0 - Non-Counterfactual","Mission: 8.0/7.0, Denial: 3.0/8.0, Risktol: 3.0/0.0, Timeurg: 6.0/8.0 - Non-Counterfactual","Prompt: 3.0/2.0, Age: 40.0/36.0, Rank: 0.0/1.0, Location: 3.0/0.0, Mission: 3.0/7.0, Risktol: 8.0/0.0 - Non-Counterfactual","Prompt: 3.0/2.0, Age: 40.0/36.0, Rank: 0.0/1.0, Location: 3.0/0.0, Mission: 0.0/7.0, Risktol: 8.0/0.0 - Non-Counterfactual"
45,9,[ 9 11 11 10 11],Case: 41 / Pred: 9,Case: 42 / Pred: 11,Case: 34 / Pred: 11,Case: 43 / Pred: 10,Case: 46 / Pred: 11,"[41, 42, 34, 43, 46]","[0.3401110392573743, 0.33989070683478784, 0.3394824697009694, 0.3394824697009694, 0.3394824697009694]","Mission: 8.0/4.0, Risktol: 6.0/2.0 - Non-Counterfactual","Denial: 3.0/8.0, Risktol: 3.0/2.0 - Counterfactual","Mission: 8.0/4.0, Denial: 2.0/8.0, Timeurg: 7.0/6.0 - Counterfactual","Mission: 2.0/4.0, Denial: 2.0/8.0, Timeurg: 8.0/6.0 - Counterfactual","Mission: 6.0/4.0, Denial: 2.0/8.0, Timeurg: 0.0/6.0 - Counterfactual"
46,11,[11 10  9  9 11],Case: 34 / Pred: 11,Case: 43 / Pred: 10,Case: 45 / Pred: 9,Case: 33 / Pred: 9,Case: 38 / Pred: 11,"[34, 43, 45, 33, 38]","[0.3399004544545376, 0.3399004544545376, 0.3394824697009694, 0.33920314355080317, 0.33920314355080317]","Mission: 8.0/6.0, Timeurg: 7.0/0.0 - Non-Counterfactual","Mission: 2.0/6.0, Timeurg: 8.0/0.0 - Counterfactual","Mission: 4.0/6.0, Denial: 8.0/2.0, Timeurg: 6.0/0.0 - Counterfactual","Mission: 7.0/6.0, Risktol: 7.0/2.0, Timeurg: 3.0/0.0 - Counterfactual","Mission: 8.0/6.0, Risktol: 6.0/2.0, Timeurg: 7.0/0.0 - Non-Counterfactual"
47,10,[10 10 10  9  9],Case: 35 / Pred: 10,Case: 43 / Pred: 10,Case: 39 / Pred: 10,Case: 41 / Pred: 9,Case: 45 / Pred: 9,"[35, 43, 39, 41, 45]","[0.3403081901700035, 0.33989070683478784, 0.33940082184166687, 0.33920314355080317, 0.33920314355080317]",Risktol: 8.0/0.0 - Non-Counterfactual,"Denial: 2.0/8.0, Risktol: 2.0/0.0 - Non-Counterfactual","Risktol: 3.0/0.0, Timeurg: 2.0/8.0 - Non-Counterfactual","Mission: 8.0/2.0, Risktol: 6.0/0.0, Timeurg: 6.0/8.0 - Counterfactual","Mission: 4.0/2.0, Risktol: 2.0/0.0, Timeurg: 6.0/8.0 - Counterfactual"
48,12,[12 12 12 12 12],Case: 52 / Pred: 12,Case: 56 / Pred: 12,Case: 60 / Pred: 12,Case: 32 / Pred: 12,Case: 36 / Pred: 12,"[52, 56, 60, 32, 36]","[0.3401110392573743, 0.34009772744088324, 0.3399004544545376, 0.32908870640400195, 0.328884830009849]","Mission: 2.0/3.0, Risktol: 2.0/8.0 - Non-Counterfactual",Timeurg: 8.0/2.0 - Non-Counterfactual,"Mission: 0.0/3.0, Timeurg: 8.0/2.0 - Non-Counterfactual","Prompt: 2.0/3.0, Age: 36.0/40.0, Rank: 1.0/0.0, Location: 0.0/3.0, Denial: 2.0/8.0 - Non-Counterfactual","Prompt: 2.0/3.0, Age: 36.0/40.0, Rank: 1.0/0.0, Location: 0.0/3.0, Mission: 2.0/3.0, Denial: 2.0/8.0 - Non-Counterfactual"
49,9,[11 11  9  9  9],Case: 58 / Pred: 11,Case: 54 / Pred: 11,Case: 57 / Pred: 9,Case: 61 / Pred: 9,Case: 53 / Pred: 9,"[58, 54, 57, 61, 53]","[0.33989070683478784, 0.3394824697009694, 0.3394824697009694, 0.3394824697009694, 0.33898222101264736]","Denial: 6.0/4.0, Risktol: 3.0/7.0 - Counterfactual","Mission: 2.0/3.0, Denial: 3.0/4.0, Timeurg: 2.0/7.0 - Counterfactual","Mission: 8.0/3.0, Denial: 7.0/4.0, Timeurg: 6.0/7.0 - Non-Counterfactual","Mission: 0.0/3.0, Denial: 6.0/4.0, Timeurg: 6.0/7.0 - Non-Counterfactual","Denial: 7.0/4.0, Risktol: 3.0/7.0, Timeurg: 4.0/7.0 - Non-Counterfactual"
50,11,[10 10 10  9 11],Case: 59 / Pred: 10,Case: 63 / Pred: 10,Case: 51 / Pred: 10,Case: 53 / Pred: 9,Case: 58 / Pred: 11,"[59, 63, 51, 53, 58]","[0.3401110392573743, 0.33989070683478784, 0.33969331362362665, 0.3394824697009694, 0.3394824697009694]","Mission: 2.0/7.0, Risktol: 2.0/3.0 - Counterfactual","Denial: 8.0/2.0, Risktol: 8.0/3.0 - Counterfactual","Mission: 8.0/7.0, Denial: 8.0/2.0, Risktol: 8.0/3.0 - Counterfactual","Mission: 3.0/7.0, Denial: 7.0/2.0, Timeurg: 4.0/8.0 - Counterfactual","Mission: 3.0/7.0, Denial: 6.0/2.0, Timeurg: 7.0/8.0 - Non-Counterfactual"
51,10,[10 11 10  9  9],Case: 63 / Pred: 10,Case: 50 / Pred: 11,Case: 59 / Pred: 10,Case: 57 / Pred: 9,Case: 49 / Pred: 9,"[63, 50, 59, 57, 49]","[0.34080649255609197, 0.33969331362362665, 0.33969331362362665, 0.33898222101264736, 0.3387842984711883]",Mission: 7.0/8.0 - Non-Counterfactual,"Mission: 7.0/8.0, Denial: 2.0/8.0, Risktol: 3.0/8.0 - Counterfactual","Mission: 2.0/8.0, Denial: 2.0/8.0, Risktol: 2.0/8.0 - Non-Counterfactual","Denial: 7.0/8.0, Risktol: 7.0/8.0, Timeurg: 6.0/8.0 - Counterfactual","Mission: 3.0/8.0, Denial: 4.0/8.0, Risktol: 7.0/8.0, Timeurg: 7.0/8.0 - Counterfactual"
52,12,[12 12 12 12 12],Case: 48 / Pred: 12,Case: 56 / Pred: 12,Case: 60 / Pred: 12,Case: 36 / Pred: 12,Case: 32 / Pred: 12,"[48, 56, 60, 36, 32]","[0.3401110392573743, 0.33920314355080317, 0.33920314355080317, 0.32836843687998546, 0.32816411300895304]","Mission: 3.0/2.0, Risktol: 8.0/2.0 - Non-Counterfactual","Mission: 3.0/2.0, Risktol: 8.0/2.0, Timeurg: 8.0/2.0 - Non-Counterfactual","Mission: 0.0/2.0, Risktol: 8.0/2.0, Timeurg: 8.0/2.0 - Non-Counterfactual","Prompt: 2.0/3.0, Age: 36.0/40.0, Rank: 1.0/0.0, Location: 0.0/3.0, Denial: 2.0/8.0, Risktol: 8.0/2.0 - Non-Counterfactual","Prompt: 2.0/3.0, Age: 36.0/40.0, Rank: 1.0/0.0, Location: 0.0/3.0, Mission: 3.0/2.0, Denial: 2.0/8.0, Risktol: 8.0/2.0 - Non-Counterfactual"
53,9,[11 11 11  9  9],Case: 62 / Pred: 11,Case: 58 / Pred: 11,Case: 50 / Pred: 11,Case: 57 / Pred: 9,Case: 49 / Pred: 9,"[62, 58, 50, 57, 49]","[0.33969331362362665, 0.3396799854367662, 0.3394824697009694, 0.33920314355080317, 0.33898222101264736]","Mission: 0.0/3.0, Denial: 3.0/7.0, Risktol: 2.0/3.0 - Counterfactual","Denial: 6.0/7.0, Timeurg: 7.0/4.0 - Counterfactual","Mission: 7.0/3.0, Denial: 2.0/7.0, Timeurg: 8.0/4.0 - Counterfactual","Mission: 8.0/3.0, Risktol: 7.0/3.0, Timeurg: 6.0/4.0 - Non-Counterfactual","Denial: 4.0/7.0, Risktol: 7.0/3.0, Timeurg: 7.0/4.0 - Non-Counterfactual"
54,11,[10  9  9  9 11],Case: 55 / Pred: 10,Case: 49 / Pred: 9,Case: 57 / Pred: 9,Case: 61 / Pred: 9,Case: 62 / Pred: 11,"[55, 49, 57, 61, 62]","[0.33969331362362665, 0.3394824697009694, 0.3394824697009694, 0.3394824697009694, 0.33920314355080317]","Mission: 3.0/2.0, Denial: 2.0/3.0, Risktol: 2.0/7.0 - Counterfactual","Mission: 3.0/2.0, Denial: 4.0/3.0, Timeurg: 7.0/2.0 - Counterfactual","Mission: 8.0/2.0, Denial: 7.0/3.0, Timeurg: 6.0/2.0 - Counterfactual","Mission: 0.0/2.0, Denial: 6.0/3.0, Timeurg: 6.0/2.0 - Counterfactual","Mission: 0.0/2.0, Risktol: 2.0/7.0, Timeurg: 4.0/2.0 - Non-Counterfactual"
55,10,[10 11 11 11  9],Case: 59 / Pred: 10,Case: 54 / Pred: 11,Case: 62 / Pred: 11,Case: 50 / Pred: 11,Case: 49 / Pred: 9,"[59, 54, 62, 50, 49]","[0.3399004544545376, 0.33969331362362665, 0.3394824697009694, 0.33920314355080317, 0.33898222101264736]","Mission: 2.0/3.0, Timeurg: 8.0/2.0 - Non-Counterfactual","Mission: 2.0/3.0, Denial: 3.0/2.0, Risktol: 7.0/2.0 - Counterfactual","Mission: 0.0/3.0, Denial: 3.0/2.0, Timeurg: 4.0/2.0 - Counterfactual","Mission: 7.0/3.0, Risktol: 3.0/2.0, Timeurg: 8.0/2.0 - Counterfactual","Denial: 4.0/2.0, Risktol: 7.0/2.0, Timeurg: 7.0/2.0 - Counterfactual"
56,12,[12 12 12 12 12],Case: 60 / Pred: 12,Case: 48 / Pred: 12,Case: 52 / Pred: 12,Case: 44 / Pred: 12,Case: 32 / Pred: 12,"[60, 48, 52, 44, 32]","[0.34080649255609197, 0.34009772744088324, 0.33920314355080317, 0.3285964953724925, 0.3281503165512339]",Mission: 0.0/3.0 - Non-Counterfactual,Timeurg: 2.0/8.0 - Non-Counterfactual,"Mission: 2.0/3.0, Risktol: 2.0/8.0, Timeurg: 2.0/8.0 - Non-Counterfactual","Prompt: 2.0/3.0, Age: 36.0/40.0, Rank: 1.0/0.0, Location: 0.0/3.0, Mission: 7.0/3.0, Risktol: 0.0/8.0 - Non-Counterfactual","Prompt: 2.0/3.0, Age: 36.0/40.0, Rank: 1.0/0.0, Location: 0.0/3.0, Denial: 2.0/8.0, Timeurg: 2.0/8.0 - Non-Counterfactual"
57,9,[ 9  9 11  9 10],Case: 61 / Pred: 9,Case: 49 / Pred: 9,Case: 54 / Pred: 11,Case: 53 / Pred: 9,Case: 51 / Pred: 10,"[61, 49, 54, 53, 51]","[0.34038962038266385, 0.3394824697009694, 0.3394824697009694, 0.33920314355080317, 0.33898222101264736]","Mission: 0.0/8.0, Denial: 6.0/7.0 - Non-Counterfactual","Mission: 3.0/8.0, Denial: 4.0/7.0, Timeurg: 7.0/6.0 - Non-Counterfactual","Mission: 2.0/8.0, Denial: 3.0/7.0, Timeurg: 2.0/6.0 - Counterfactual","Mission: 3.0/8.0, Risktol: 3.0/7.0, Timeurg: 4.0/6.0 - Non-Counterfactual","Denial: 8.0/7.0, Risktol: 8.0/7.0, Timeurg: 8.0/6.0 - Counterfactual"
58,11,[ 9  9 11  9 10],Case: 49 / Pred: 9,Case: 53 / Pred: 9,Case: 50 / Pred: 11,Case: 61 / Pred: 9,Case: 55 / Pred: 10,"[49, 53, 50, 61, 55]","[0.33989070683478784, 0.3396799854367662, 0.3394824697009694, 0.33920314355080317, 0.33898222101264736]","Denial: 4.0/6.0, Risktol: 7.0/3.0 - Counterfactual","Denial: 7.0/6.0, Timeurg: 4.0/7.0 - Counterfactual","Mission: 7.0/3.0, Denial: 2.0/6.0, Timeurg: 8.0/7.0 - Non-Counterfactual","Mission: 0.0/3.0, Risktol: 7.0/3.0, Timeurg: 6.0/7.0 - Counterfactual","Denial: 2.0/6.0, Risktol: 2.0/3.0, Timeurg: 2.0/7.0 - Counterfactual"
59,10,[11 10 10 10 11],Case: 50 / Pred: 11,Case: 55 / Pred: 10,Case: 51 / Pred: 10,Case: 63 / Pred: 10,Case: 62 / Pred: 11,"[50, 55, 51, 63, 62]","[0.3401110392573743, 0.3399004544545376, 0.33969331362362665, 0.33969331362362665, 0.3394824697009694]","Mission: 7.0/2.0, Risktol: 3.0/2.0 - Counterfactual","Mission: 3.0/2.0, Timeurg: 2.0/8.0 - Non-Counterfactual","Mission: 8.0/2.0, Denial: 8.0/2.0, Risktol: 8.0/2.0 - Non-Counterfactual","Mission: 7.0/2.0, Denial: 8.0/2.0, Risktol: 8.0/2.0 - Non-Counterfactual","Mission: 0.0/2.0, Denial: 3.0/2.0, Timeurg: 4.0/8.0 - Counterfactual"
60,12,[12 12 12 12 12],Case: 56 / Pred: 12,Case: 48 / Pred: 12,Case: 52 / Pred: 12,Case: 44 / Pred: 12,Case: 32 / Pred: 12,"[56, 48, 52, 44, 32]","[0.34080649255609197, 0.3399004544545376, 0.33920314355080317, 0.3285964953724925, 0.32794585678221777]",Mission: 3.0/0.0 - Non-Counterfactual,"Mission: 3.0/0.0, Timeurg: 2.0/8.0 - Non-Counterfactual","Mission: 2.0/0.0, Risktol: 2.0/8.0, Timeurg: 2.0/8.0 - Non-Counterfactual","Prompt: 2.0/3.0, Age: 36.0/40.0, Rank: 1.0/0.0, Location: 0.0/3.0, Mission: 7.0/0.0, Risktol: 0.0/8.0 - Non-Counterfactual","Prompt: 2.0/3.0, Age: 36.0/40.0, Rank: 1.0/0.0, Location: 0.0/3.0, Mission: 3.0/0.0, Denial: 2.0/8.0, Timeurg: 2.0/8.0 - Non-Counterfactual"
61,9,[ 9  9 11 11 11],Case: 57 / Pred: 9,Case: 49 / Pred: 9,Case: 54 / Pred: 11,Case: 58 / Pred: 11,Case: 62 / Pred: 11,"[57, 49, 54, 58, 62]","[0.34038962038266385, 0.3394824697009694, 0.3394824697009694, 0.33920314355080317, 0.33898222101264736]","Mission: 8.0/0.0, Denial: 7.0/6.0 - Non-Counterfactual","Mission: 3.0/0.0, Denial: 4.0/6.0, Timeurg: 7.0/6.0 - Non-Counterfactual","Mission: 2.0/0.0, Denial: 3.0/6.0, Timeurg: 2.0/6.0 - Counterfactual","Mission: 3.0/0.0, Risktol: 3.0/7.0, Timeurg: 7.0/6.0 - Counterfactual","Denial: 3.0/6.0, Risktol: 2.0/7.0, Timeurg: 4.0/6.0 - Counterfactual"
62,11,[ 9 10 10 11  9],Case: 53 / Pred: 9,Case: 55 / Pred: 10,Case: 59 / Pred: 10,Case: 54 / Pred: 11,Case: 61 / Pred: 9,"[53, 55, 59, 54, 61]","[0.33969331362362665, 0.3394824697009694, 0.3394824697009694, 0.33920314355080317, 0.33898222101264736]","Mission: 3.0/0.0, Denial: 7.0/3.0, Risktol: 3.0/2.0 - Counterfactual","Mission: 3.0/0.0, Denial: 2.0/3.0, Timeurg: 2.0/4.0 - Counterfactual","Mission: 2.0/0.0, Denial: 2.0/3.0, Timeurg: 8.0/4.0 - Counterfactual","Mission: 2.0/0.0, Risktol: 7.0/2.0, Timeurg: 2.0/4.0 - Non-Counterfactual","Denial: 6.0/3.0, Risktol: 7.0/2.0, Timeurg: 6.0/4.0 - Counterfactual"
63,10,[10 11 10  9  9],Case: 51 / Pred: 10,Case: 50 / Pred: 11,Case: 59 / Pred: 10,Case: 49 / Pred: 9,Case: 53 / Pred: 9,"[51, 50, 59, 49, 53]","[0.34080649255609197, 0.33989070683478784, 0.33969331362362665, 0.3387842984711883, 0.3387842984711883]",Mission: 8.0/7.0 - Non-Counterfactual,"Denial: 2.0/8.0, Risktol: 3.0/8.0 - Counterfactual","Mission: 2.0/7.0, Denial: 2.0/8.0, Risktol: 2.0/8.0 - Non-Counterfactual","Mission: 3.0/7.0, Denial: 4.0/8.0, Risktol: 7.0/8.0, Timeurg: 7.0/8.0 - Counterfactual","Mission: 3.0/7.0, Denial: 7.0/8.0, Risktol: 3.0/8.0, Timeurg: 4.0/8.0 - Counterfactual"
64,12,[12 12 12 12 12],Case: 68 / Pred: 12,Case: 72 / Pred: 12,Case: 76 / Pred: 12,Case: 48 / Pred: 12,Case: 52 / Pred: 12,"[68, 72, 76, 48, 52]","[0.33989070683478784, 0.33969331362362665, 0.3387842984711883, 0.3214983755057205, 0.3214983755057205]","Denial: 2.0/7.0, Risktol: 2.0/7.0 - Non-Counterfactual","Mission: 2.0/8.0, Denial: 2.0/7.0, Risktol: 4.0/7.0 - Non-Counterfactual","Mission: 0.0/8.0, Denial: 8.0/7.0, Risktol: 8.0/7.0, Timeurg: 8.0/2.0 - Non-Counterfactual","Prompt: 3.0/4.0, Age: 40.0/26.0, Rank: 0.0/1.0, Injury Type: 2.0/0.0, Severity: 0.25/1.0, Location: 3.0/2.0, Mission: 3.0/8.0, Denial: 8.0/7.0, Risktol: 8.0/7.0 - Non-Counterfactual","Prompt: 3.0/4.0, Age: 40.0/26.0, Rank: 0.0/1.0, Injury Type: 2.0/0.0, Severity: 0.25/1.0, Location: 3.0/2.0, Mission: 2.0/8.0, Denial: 8.0/7.0, Risktol: 2.0/7.0 - Non-Counterfactual"
65,9,[11  9 11  9 11],Case: 70 / Pred: 11,Case: 73 / Pred: 9,Case: 74 / Pred: 11,Case: 69 / Pred: 9,Case: 66 / Pred: 11,"[70, 73, 74, 69, 66]","[0.33969331362362665, 0.3394824697009694, 0.3394824697009694, 0.33920314355080317, 0.33898222101264736]","Mission: 4.0/2.0, Denial: 8.0/3.0, Risktol: 8.0/6.0 - Counterfactual","Mission: 3.0/2.0, Denial: 6.0/3.0, Timeurg: 3.0/7.0 - Non-Counterfactual","Mission: 8.0/2.0, Denial: 8.0/3.0, Timeurg: 8.0/7.0 - Counterfactual","Mission: 6.0/2.0, Risktol: 7.0/6.0, Timeurg: 3.0/7.0 - Non-Counterfactual","Denial: 2.0/3.0, Risktol: 3.0/6.0, Timeurg: 8.0/7.0 - Counterfactual"
