Index,Actual Outcome,Predicted,Sim#1,Sim#2,Sim#3,Sim#4,Sim#5,Similar_Index,Distance,Diff#1,Diff#2,Diff#3,Diff#4,Diff#5
[88],10,[10  5  5 10 10],Sample: 104 / Pred: 10,Sample: 207 / Pred: 5,Sample: 203 / Pred: 5,Sample: 206 / Pred: 10,Sample: 202 / Pred: 10,"[104, 207, 203, 206, 202]","[1.0, 3.74, 3.87, 3.87, 4.24]",Prompt: 7.0/6.0,"Type: 3.0/1.0, Prompt: 9.0/6.0, Risktol: 2.0/3.0","Type: 3.0/1.0, Prompt: 9.0/6.0, Risktol: 2.0/3.0, Timeurg: 3.0/2.0","Type: 3.0/1.0, Prompt: 9.0/6.0, Risktol: 4.0/3.0, Timeurg: 3.0/2.0","Type: 3.0/1.0, Prompt: 9.0/6.0, Mission: 3.0/2.0, Timeurg: 4.0/2.0"
[89],10,[10 10 10 10  4],Sample: 105 / Pred: 10,Sample: 280 / Pred: 10,Sample: 209 / Pred: 10,Sample: 272 / Pred: 10,Sample: 211 / Pred: 4,"[105, 280, 209, 272, 211]","[2.45, 2.65, 4.69, 4.69, 4.8]","Prompt: 7.0/6.0, Risktol: 3.0/4.0, Timeurg: 4.0/2.0","Prompt: 8.0/6.0, Mission: 8.0/7.0, Denial: 3.0/2.0, Risktol: 3.0/4.0","Type: 3.0/1.0, Prompt: 10.0/6.0, Mission: 6.0/7.0, Risktol: 3.0/4.0","Prompt: 8.0/6.0, Mission: 8.0/7.0, Risktol: 8.0/4.0, Timeurg: 3.0/2.0","Type: 3.0/1.0, Prompt: 10.0/6.0, Mission: 6.0/7.0, Risktol: 3.0/4.0, Timeurg: 3.0/2.0"
[90],10,[12 10 10 10 10],Sample: 33 / Pred: 12,Sample: 94 / Pred: 10,Sample: 87 / Pred: 10,Sample: 285 / Pred: 10,Sample: 277 / Pred: 10,"[33, 94, 87, 285, 277]","[4.36, 5.0, 5.39, 5.39, 5.48]","Type: 2.0/1.0, Prompt: 2.0/6.0, Mission: 7.0/8.0, Risktol: 7.0/6.0","Risktol: 3.0/6.0, Timeurg: 7.0/3.0","Name: 4.0/3.0, Age: 40.0/36.0, Rank: 1.0/2.0, Location: 4.0/1.0, Denial: 3.0/2.0, Risktol: 7.0/6.0","Prompt: 8.0/6.0, Risktol: 3.0/6.0, Timeurg: 7.0/3.0","Prompt: 8.0/6.0, Mission: 7.0/8.0, Risktol: 3.0/6.0, Timeurg: 7.0/3.0"
[91],10,[10 10 14 10 10],Sample: 87 / Pred: 10,Sample: 278 / Pred: 10,Sample: 54 / Pred: 14,Sample: 90 / Pred: 10,Sample: 95 / Pred: 10,"[87, 278, 54, 90, 95]","[2.65, 4.69, 5.29, 6.0, 6.63]","Mission: 8.0/6.0, Denial: 3.0/2.0, Risktol: 7.0/8.0, Timeurg: 3.0/2.0","Prompt: 8.0/6.0, Mission: 2.0/6.0, Risktol: 7.0/8.0, Timeurg: 3.0/2.0","Type: 2.0/1.0, Prompt: 3.0/6.0, Mission: 2.0/6.0, Denial: 3.0/2.0, Risktol: 7.0/8.0","Name: 3.0/4.0, Age: 36.0/40.0, Rank: 2.0/1.0, Location: 1.0/4.0, Mission: 8.0/6.0, Risktol: 6.0/8.0, Timeurg: 3.0/2.0","Mission: 4.0/6.0, Risktol: 2.0/8.0, Timeurg: 4.0/2.0"
[92],10,[10 10 10 10 10],Sample: 108 / Pred: 10,Sample: 93 / Pred: 10,Sample: 109 / Pred: 10,Sample: 284 / Pred: 10,Sample: 80 / Pred: 10,"[108, 93, 109, 284, 80]","[1.0, 4.13, 4.25, 4.48, 5.1]",Prompt: 7.0/6.0,"Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Mission: 4.0/2.0, Risktol: 6.0/7.0, Timeurg: 6.0/7.0","Prompt: 7.0/6.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Mission: 4.0/2.0, Risktol: 6.0/7.0, Timeurg: 6.0/7.0","Prompt: 8.0/6.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Mission: 4.0/2.0, Timeurg: 6.0/7.0","Risktol: 8.0/7.0, Timeurg: 2.0/7.0"
[93],10,[10 10 10 10 10],Sample: 109 / Pred: 10,Sample: 284 / Pred: 10,Sample: 92 / Pred: 10,Sample: 108 / Pred: 10,Sample: 105 / Pred: 10,"[109, 284, 92, 108, 105]","[1.0, 2.24, 4.13, 4.25, 4.8]",Prompt: 7.0/6.0,"Prompt: 8.0/6.0, Risktol: 7.0/6.0","Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25, Mission: 2.0/4.0, Risktol: 7.0/6.0, Timeurg: 7.0/6.0","Prompt: 7.0/6.0, Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25, Mission: 2.0/4.0, Risktol: 7.0/6.0, Timeurg: 7.0/6.0","Prompt: 7.0/6.0, Mission: 7.0/4.0, Risktol: 3.0/6.0, Timeurg: 4.0/6.0"
[94],10,[10 10 14 15 10],Sample: 285 / Pred: 10,Sample: 277 / Pred: 10,Sample: 34 / Pred: 14,Sample: 40 / Pred: 15,Sample: 90 / Pred: 10,"[285, 277, 34, 40, 90]","[2.0, 2.24, 4.24, 4.36, 5.0]",Prompt: 8.0/6.0,"Prompt: 8.0/6.0, Mission: 7.0/8.0","Type: 2.0/1.0, Prompt: 2.0/6.0, Risktol: 2.0/3.0","Type: 2.0/1.0, Prompt: 2.0/6.0, Denial: 3.0/2.0, Timeurg: 6.0/7.0","Risktol: 6.0/3.0, Timeurg: 3.0/7.0"
[95],10,[10 10 13 14 13],Sample: 110 / Pred: 10,Sample: 286 / Pred: 10,Sample: 55 / Pred: 13,Sample: 62 / Pred: 14,Sample: 59 / Pred: 13,"[110, 286, 55, 62, 59]","[1.0, 2.0, 3.87, 5.2, 5.48]",Prompt: 7.0/6.0,Prompt: 8.0/6.0,"Type: 2.0/1.0, Prompt: 3.0/6.0, Mission: 3.0/4.0, Timeurg: 2.0/4.0","Type: 2.0/1.0, Prompt: 3.0/6.0, Mission: 0.0/4.0, Denial: 3.0/2.0","Type: 2.0/1.0, Prompt: 3.0/6.0, Mission: 2.0/4.0, Timeurg: 8.0/4.0"
[96],10,[10 10  5 10 10],Sample: 80 / Pred: 10,Sample: 194 / Pred: 10,Sample: 195 / Pred: 5,Sample: 104 / Pred: 10,Sample: 193 / Pred: 10,"[80, 194, 195, 104, 193]","[1.0, 2.83, 3.0, 5.0, 5.0]",Prompt: 6.0/7.0,"Type: 3.0/1.0, Prompt: 9.0/7.0","Type: 3.0/1.0, Prompt: 9.0/7.0, Risktol: 7.0/8.0",Risktol: 3.0/8.0,"Type: 3.0/1.0, Prompt: 9.0/7.0, Mission: 6.0/2.0, Risktol: 7.0/8.0"
[97],10,[10 10 10 10 10],Sample: 212 / Pred: 10,Sample: 213 / Pred: 10,Sample: 204 / Pred: 10,Sample: 196 / Pred: 10,Sample: 192 / Pred: 10,"[212, 213, 204, 196, 192]","[4.0, 4.24, 4.59, 4.7, 5.01]","Type: 3.0/1.0, Prompt: 10.0/7.0, Mission: 7.0/8.0, Risktol: 2.0/3.0, Timeurg: 8.0/7.0","Type: 3.0/1.0, Prompt: 10.0/7.0, Mission: 7.0/8.0, Denial: 6.0/8.0","Type: 3.0/1.0, Prompt: 9.0/7.0, Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25, Risktol: 2.0/3.0, Timeurg: 8.0/7.0","Type: 3.0/1.0, Prompt: 9.0/7.0, Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25, Denial: 7.0/8.0, Risktol: 2.0/3.0, Timeurg: 8.0/7.0","Type: 3.0/1.0, Prompt: 9.0/7.0, Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25, Mission: 6.0/8.0, Risktol: 4.0/3.0, Timeurg: 8.0/7.0"
[98],10,[10 10 10 10 10],Sample: 244 / Pred: 10,Sample: 245 / Pred: 10,Sample: 274 / Pred: 10,Sample: 282 / Pred: 10,Sample: 106 / Pred: 10,"[244, 245, 274, 282, 106]","[5.39, 5.74, 6.08, 6.16, 6.4]","Type: 3.0/1.0, Prompt: 12.0/7.0","Type: 3.0/1.0, Prompt: 12.0/7.0, Mission: 7.0/8.0, Denial: 7.0/8.0, Risktol: 3.0/2.0, Timeurg: 7.0/8.0","Prompt: 8.0/7.0, Mission: 2.0/8.0","Prompt: 8.0/7.0, Risktol: 8.0/2.0, Timeurg: 7.0/8.0","Mission: 7.0/8.0, Risktol: 8.0/2.0, Timeurg: 6.0/8.0"
[99],10,[10 10 10 12 15],Sample: 103 / Pred: 10,Sample: 275 / Pred: 10,Sample: 279 / Pred: 10,Sample: 73 / Pred: 12,Sample: 72 / Pred: 15,"[103, 275, 279, 73, 72]","[1.0, 1.41, 1.73, 5.0, 5.2]",Risktol: 7.0/8.0,"Prompt: 8.0/7.0, Denial: 2.0/3.0","Prompt: 8.0/7.0, Denial: 2.0/3.0, Risktol: 7.0/8.0","Type: 2.0/1.0, Prompt: 4.0/7.0, Mission: 3.0/2.0, Denial: 6.0/3.0, Risktol: 6.0/8.0, Timeurg: 3.0/2.0","Type: 2.0/1.0, Prompt: 4.0/7.0, Denial: 2.0/3.0, Risktol: 4.0/8.0"
[100],10,[10  5 10 10 10],Sample: 84 / Pred: 10,Sample: 199 / Pred: 5,Sample: 198 / Pred: 10,Sample: 276 / Pred: 10,Sample: 96 / Pred: 10,"[84, 199, 198, 276, 96]","[1.0, 3.0, 3.32, 3.88, 6.0]",Prompt: 6.0/7.0,"Type: 3.0/1.0, Prompt: 9.0/7.0, Mission: 3.0/2.0","Type: 3.0/1.0, Prompt: 9.0/7.0, Mission: 3.0/2.0, Risktol: 7.0/8.0, Timeurg: 3.0/2.0","Prompt: 8.0/7.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Mission: 3.0/2.0, Denial: 7.0/8.0, Risktol: 7.0/8.0",Denial: 2.0/8.0
[101],10,[10 10 10 10 10],Sample: 208 / Pred: 10,Sample: 197 / Pred: 10,Sample: 276 / Pred: 10,Sample: 284 / Pred: 10,Sample: 109 / Pred: 10,"[208, 197, 276, 284, 109]","[4.0, 4.48, 5.1, 5.29, 5.29]","Type: 3.0/1.0, Prompt: 10.0/7.0, Mission: 2.0/3.0, Denial: 8.0/7.0, Risktol: 8.0/7.0","Type: 3.0/1.0, Prompt: 9.0/7.0, Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25, Risktol: 6.0/7.0","Prompt: 8.0/7.0, Timeurg: 2.0/7.0","Prompt: 8.0/7.0, Mission: 4.0/3.0, Denial: 2.0/7.0, Timeurg: 6.0/7.0","Mission: 4.0/3.0, Denial: 2.0/7.0, Risktol: 6.0/7.0, Timeurg: 6.0/7.0"
[102],10,[12 15 10 10 14],Sample: 53 / Pred: 12,Sample: 52 / Pred: 15,Sample: 274 / Pred: 10,Sample: 246 / Pred: 10,Sample: 58 / Pred: 14,"[53, 52, 274, 246, 58]","[4.36, 4.47, 5.29, 5.66, 6.08]","Type: 2.0/1.0, Prompt: 3.0/7.0, Denial: 7.0/8.0, Timeurg: 4.0/3.0","Type: 2.0/1.0, Prompt: 3.0/7.0, Mission: 2.0/3.0, Risktol: 2.0/3.0, Timeurg: 2.0/3.0","Prompt: 8.0/7.0, Mission: 2.0/3.0, Risktol: 2.0/3.0, Timeurg: 8.0/3.0","Type: 3.0/1.0, Prompt: 12.0/7.0, Mission: 4.0/3.0, Denial: 7.0/8.0, Risktol: 2.0/3.0","Type: 2.0/1.0, Prompt: 3.0/7.0, Denial: 6.0/8.0, Timeurg: 7.0/3.0"
[103],10,[10 10 10 15 10],Sample: 99 / Pred: 10,Sample: 279 / Pred: 10,Sample: 275 / Pred: 10,Sample: 72 / Pred: 15,Sample: 111 / Pred: 10,"[99, 279, 275, 72, 111]","[1.0, 1.41, 1.73, 4.47, 4.58]",Risktol: 8.0/7.0,"Prompt: 8.0/7.0, Denial: 2.0/3.0","Prompt: 8.0/7.0, Denial: 2.0/3.0, Risktol: 8.0/7.0","Type: 2.0/1.0, Prompt: 4.0/7.0, Denial: 2.0/3.0, Risktol: 4.0/7.0","Mission: 4.0/2.0, Denial: 2.0/3.0, Risktol: 3.0/7.0"
[104],10,[10  5  5 10 10],Sample: 88 / Pred: 10,Sample: 207 / Pred: 5,Sample: 203 / Pred: 5,Sample: 206 / Pred: 10,Sample: 202 / Pred: 10,"[88, 207, 203, 206, 202]","[1.0, 3.0, 3.16, 3.16, 3.61]",Prompt: 6.0/7.0,"Type: 3.0/1.0, Prompt: 9.0/7.0, Risktol: 2.0/3.0","Type: 3.0/1.0, Prompt: 9.0/7.0, Risktol: 2.0/3.0, Timeurg: 3.0/2.0","Type: 3.0/1.0, Prompt: 9.0/7.0, Risktol: 4.0/3.0, Timeurg: 3.0/2.0","Type: 3.0/1.0, Prompt: 9.0/7.0, Mission: 3.0/2.0, Timeurg: 4.0/2.0"
[105],10,[10 10  4  4 10],Sample: 89 / Pred: 10,Sample: 280 / Pred: 10,Sample: 211 / Pred: 4,Sample: 219 / Pred: 4,Sample: 209 / Pred: 10,"[89, 280, 211, 219, 209]","[2.45, 2.65, 3.87, 4.12, 4.24]","Prompt: 6.0/7.0, Risktol: 4.0/3.0, Timeurg: 2.0/4.0","Prompt: 8.0/7.0, Mission: 8.0/7.0, Denial: 3.0/2.0, Timeurg: 2.0/4.0","Type: 3.0/1.0, Prompt: 10.0/7.0, Mission: 6.0/7.0, Timeurg: 3.0/4.0","Type: 3.0/1.0, Prompt: 10.0/7.0, Mission: 8.0/7.0, Denial: 3.0/2.0, Risktol: 2.0/3.0, Timeurg: 3.0/4.0","Type: 3.0/1.0, Prompt: 10.0/7.0, Mission: 6.0/7.0, Timeurg: 2.0/4.0"
[106],10,[10 12 13 13  9],Sample: 282 / Pred: 10,Sample: 57 / Pred: 12,Sample: 63 / Pred: 13,Sample: 51 / Pred: 13,Sample: 83 / Pred: 9,"[282, 57, 63, 51, 83]","[1.73, 4.47, 4.58, 4.69, 4.69]","Prompt: 8.0/7.0, Mission: 8.0/7.0, Timeurg: 7.0/6.0","Type: 2.0/1.0, Prompt: 3.0/7.0, Mission: 8.0/7.0, Denial: 7.0/8.0, Risktol: 7.0/8.0","Type: 2.0/1.0, Prompt: 3.0/7.0, Timeurg: 8.0/6.0","Type: 2.0/1.0, Prompt: 3.0/7.0, Mission: 8.0/7.0, Timeurg: 8.0/6.0","Prompt: 6.0/7.0, Mission: 3.0/7.0, Risktol: 7.0/8.0, Timeurg: 8.0/6.0"
[107],10,[10 10 10 14 15],Sample: 283 / Pred: 10,Sample: 111 / Pred: 10,Sample: 287 / Pred: 10,Sample: 78 / Pred: 14,Sample: 72 / Pred: 15,"[283, 111, 287, 78, 72]","[3.16, 3.16, 3.32, 3.87, 4.36]","Prompt: 8.0/7.0, Timeurg: 7.0/4.0","Mission: 4.0/2.0, Denial: 2.0/3.0, Risktol: 3.0/2.0, Timeurg: 2.0/4.0","Prompt: 8.0/7.0, Mission: 4.0/2.0, Denial: 2.0/3.0, Risktol: 3.0/2.0, Timeurg: 2.0/4.0","Type: 2.0/1.0, Prompt: 4.0/7.0, Mission: 0.0/2.0, Denial: 4.0/3.0","Type: 2.0/1.0, Prompt: 4.0/7.0, Denial: 2.0/3.0, Risktol: 4.0/2.0, Timeurg: 2.0/4.0"
[108],10,[10 10 10 10 10],Sample: 92 / Pred: 10,Sample: 284 / Pred: 10,Sample: 109 / Pred: 10,Sample: 93 / Pred: 10,Sample: 96 / Pred: 10,"[92, 284, 109, 93, 96]","[1.0, 4.13, 4.13, 4.25, 5.1]",Prompt: 6.0/7.0,"Prompt: 8.0/7.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Mission: 4.0/2.0, Timeurg: 6.0/7.0","Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Mission: 4.0/2.0, Risktol: 6.0/7.0, Timeurg: 6.0/7.0","Prompt: 6.0/7.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Mission: 4.0/2.0, Risktol: 6.0/7.0, Timeurg: 6.0/7.0","Risktol: 8.0/7.0, Timeurg: 2.0/7.0"
[109],10,[10 10 10 10 10],Sample: 93 / Pred: 10,Sample: 284 / Pred: 10,Sample: 108 / Pred: 10,Sample: 92 / Pred: 10,Sample: 214 / Pred: 10,"[93, 284, 108, 92, 214]","[1.0, 1.41, 4.13, 4.25, 4.36]",Prompt: 6.0/7.0,"Prompt: 8.0/7.0, Risktol: 7.0/6.0","Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25, Mission: 2.0/4.0, Risktol: 7.0/6.0, Timeurg: 7.0/6.0","Prompt: 6.0/7.0, Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25, Mission: 2.0/4.0, Risktol: 7.0/6.0, Timeurg: 7.0/6.0","Type: 3.0/1.0, Prompt: 10.0/7.0, Mission: 3.0/4.0, Denial: 3.0/2.0, Risktol: 4.0/6.0"
[110],10,[10 10 13 10  6],Sample: 95 / Pred: 10,Sample: 286 / Pred: 10,Sample: 55 / Pred: 13,Sample: 278 / Pred: 10,Sample: 255 / Pred: 6,"[95, 286, 55, 278, 255]","[1.0, 1.0, 4.69, 5.57, 5.74]",Prompt: 6.0/7.0,Prompt: 8.0/7.0,"Type: 2.0/1.0, Prompt: 3.0/7.0, Mission: 3.0/4.0, Timeurg: 2.0/4.0","Prompt: 8.0/7.0, Mission: 2.0/4.0, Risktol: 7.0/2.0, Timeurg: 3.0/4.0","Type: 3.0/1.0, Prompt: 12.0/7.0, Risktol: 4.0/2.0"
[111],10,[10 10 15 10 10],Sample: 287 / Pred: 10,Sample: 107 / Pred: 10,Sample: 72 / Pred: 15,Sample: 103 / Pred: 10,Sample: 279 / Pred: 10,"[287, 107, 72, 103, 279]","[1.0, 3.16, 3.87, 4.58, 4.58]",Prompt: 8.0/7.0,"Mission: 2.0/4.0, Denial: 3.0/2.0, Risktol: 2.0/3.0, Timeurg: 4.0/2.0","Type: 2.0/1.0, Prompt: 4.0/7.0, Mission: 2.0/4.0, Risktol: 4.0/3.0","Mission: 2.0/4.0, Denial: 3.0/2.0, Risktol: 7.0/3.0","Prompt: 8.0/7.0, Mission: 2.0/4.0, Risktol: 7.0/3.0"
[112],10,[ 4 10 10  4 10],Sample: 119 / Pred: 4,Sample: 118 / Pred: 10,Sample: 116 / Pred: 10,Sample: 115 / Pred: 4,Sample: 114 / Pred: 10,"[119, 118, 116, 115, 114]","[1.0, 1.41, 3.16, 4.0, 4.12]",Denial: 7.0/6.0,"Denial: 7.0/6.0, Risktol: 7.0/8.0","Denial: 3.0/6.0, Timeurg: 3.0/2.0",Denial: 2.0/6.0,"Denial: 2.0/6.0, Risktol: 7.0/8.0"
[113],10,[10 10 10 10 10],Sample: 126 / Pred: 10,Sample: 124 / Pred: 10,Sample: 129 / Pred: 10,Sample: 140 / Pred: 10,Sample: 121 / Pred: 10,"[126, 124, 129, 140, 121]","[4.12, 4.24, 4.25, 4.25, 5.2]","Mission: 4.0/8.0, Timeurg: 2.0/3.0","Mission: 4.0/8.0, Denial: 3.0/2.0, Timeurg: 2.0/3.0","Prompt: 15.0/14.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Mission: 7.0/8.0, Risktol: 4.0/2.0, Timeurg: 4.0/3.0","Prompt: 15.0/14.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Mission: 6.0/8.0, Denial: 3.0/2.0, Timeurg: 2.0/3.0","Denial: 3.0/2.0, Risktol: 3.0/2.0, Timeurg: 8.0/3.0"
[114],10,[ 4 10  4 10 10],Sample: 115 / Pred: 4,Sample: 116 / Pred: 10,Sample: 127 / Pred: 4,Sample: 134 / Pred: 10,Sample: 132 / Pred: 10,"[115, 116, 127, 134, 132]","[1.0, 1.73, 2.24, 3.61, 3.88]",Risktol: 8.0/7.0,"Denial: 3.0/2.0, Risktol: 8.0/7.0, Timeurg: 3.0/2.0","Mission: 0.0/2.0, Risktol: 8.0/7.0","Prompt: 15.0/14.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Denial: 3.0/2.0","Prompt: 15.0/14.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Denial: 3.0/2.0, Risktol: 8.0/7.0, Timeurg: 3.0/2.0"
[115],4,[10 10  4 10 10],Sample: 114 / Pred: 10,Sample: 116 / Pred: 10,Sample: 127 / Pred: 4,Sample: 134 / Pred: 10,Sample: 132 / Pred: 10,"[114, 116, 127, 134, 132]","[1.0, 1.41, 2.0, 3.75, 3.75]",Risktol: 7.0/8.0,"Denial: 3.0/2.0, Timeurg: 3.0/2.0",Mission: 0.0/2.0,"Prompt: 15.0/14.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Denial: 3.0/2.0, Risktol: 7.0/8.0","Prompt: 15.0/14.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Denial: 3.0/2.0, Timeurg: 3.0/2.0"
[116],10,[ 4 10  4 10 10],Sample: 115 / Pred: 4,Sample: 114 / Pred: 10,Sample: 127 / Pred: 4,Sample: 112 / Pred: 10,Sample: 132 / Pred: 10,"[115, 114, 127, 112, 132]","[1.41, 1.73, 2.45, 3.16, 3.47]","Denial: 2.0/3.0, Timeurg: 2.0/3.0","Denial: 2.0/3.0, Risktol: 7.0/8.0, Timeurg: 2.0/3.0","Mission: 0.0/2.0, Denial: 2.0/3.0, Timeurg: 2.0/3.0","Denial: 6.0/3.0, Timeurg: 2.0/3.0","Prompt: 15.0/14.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5"
[117],10,[ 4 10 10  4 10],Sample: 123 / Pred: 4,Sample: 122 / Pred: 10,Sample: 133 / Pred: 10,Sample: 131 / Pred: 4,Sample: 121 / Pred: 10,"[123, 122, 133, 131, 121]","[1.73, 2.45, 3.47, 4.13, 4.24]","Mission: 3.0/4.0, Risktol: 3.0/2.0, Timeurg: 6.0/7.0","Mission: 2.0/4.0, Risktol: 3.0/2.0, Timeurg: 6.0/7.0","Prompt: 15.0/14.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5","Prompt: 15.0/14.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Mission: 2.0/4.0, Denial: 2.0/3.0","Mission: 8.0/4.0, Risktol: 3.0/2.0, Timeurg: 8.0/7.0"
[118],10,[ 4 10 10 10  4],Sample: 119 / Pred: 4,Sample: 112 / Pred: 10,Sample: 116 / Pred: 10,Sample: 114 / Pred: 10,Sample: 115 / Pred: 4,"[119, 112, 116, 114, 115]","[1.0, 1.41, 4.24, 5.0, 5.1]",Risktol: 8.0/7.0,"Denial: 6.0/7.0, Risktol: 8.0/7.0","Denial: 3.0/7.0, Risktol: 8.0/7.0, Timeurg: 3.0/2.0",Denial: 2.0/7.0,"Denial: 2.0/7.0, Risktol: 8.0/7.0"
[119],4,[10 10 10  4 10],Sample: 118 / Pred: 10,Sample: 112 / Pred: 10,Sample: 116 / Pred: 10,Sample: 115 / Pred: 4,Sample: 114 / Pred: 10,"[118, 112, 116, 115, 114]","[1.0, 1.0, 4.12, 5.0, 5.1]",Risktol: 7.0/8.0,Denial: 6.0/7.0,"Denial: 3.0/7.0, Timeurg: 3.0/2.0",Denial: 2.0/7.0,"Denial: 2.0/7.0, Risktol: 7.0/8.0"
[120],10,[10 10 10 10 10],Sample: 121 / Pred: 10,Sample: 138 / Pred: 10,Sample: 137 / Pred: 10,Sample: 130 / Pred: 10,Sample: 136 / Pred: 10,"[121, 138, 137, 130, 136]","[3.0, 3.75, 4.01, 4.25, 5.01]",Risktol: 3.0/6.0,"Prompt: 15.0/14.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Mission: 7.0/8.0, Risktol: 7.0/6.0","Prompt: 15.0/14.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Mission: 6.0/8.0","Prompt: 15.0/14.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Mission: 7.0/8.0, Risktol: 4.0/6.0, Timeurg: 7.0/8.0","Prompt: 15.0/14.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Mission: 6.0/8.0, Risktol: 3.0/6.0"
[121],10,[10 10 10 10 10],Sample: 120 / Pred: 10,Sample: 130 / Pred: 10,Sample: 136 / Pred: 10,Sample: 117 / Pred: 10,Sample: 137 / Pred: 10,"[120, 130, 136, 117, 137]","[3.0, 3.88, 4.01, 4.24, 5.01]",Risktol: 6.0/3.0,"Prompt: 15.0/14.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Mission: 7.0/8.0, Risktol: 4.0/3.0, Timeurg: 7.0/8.0","Prompt: 15.0/14.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Mission: 6.0/8.0","Mission: 4.0/8.0, Risktol: 2.0/3.0, Timeurg: 7.0/8.0","Prompt: 15.0/14.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Mission: 6.0/8.0, Risktol: 6.0/3.0"
[122],10,[ 4 10  4 10 10],Sample: 123 / Pred: 4,Sample: 117 / Pred: 10,Sample: 131 / Pred: 4,Sample: 133 / Pred: 10,Sample: 124 / Pred: 10,"[123, 117, 131, 133, 124]","[1.0, 2.45, 3.88, 4.25, 4.58]",Mission: 3.0/2.0,"Mission: 4.0/2.0, Risktol: 2.0/3.0, Timeurg: 7.0/6.0","Prompt: 15.0/14.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Denial: 2.0/3.0, Risktol: 2.0/3.0, Timeurg: 7.0/6.0","Prompt: 15.0/14.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Mission: 4.0/2.0, Risktol: 2.0/3.0, Timeurg: 7.0/6.0","Mission: 4.0/2.0, Risktol: 2.0/3.0, Timeurg: 2.0/6.0"
